feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X521095	Treatment	Gem	-8.34243097223904	1.0808213803646	8	7	0.000248054815867238	0.0218288237963169
X2724150	Treatment	Gem	2.18908834654589	0.43825759426249	8	4	0.00246463141243805	0.108443782147274
X1280	Treatment	Gem	-5.45761569182958	1.21144836933042	8	6	0.00408200181531604	0.119738719915937
X29380	Treatment	Gem	-3.97755820392366	0.946870248903457	8	5	0.00568112928531884	0.124984844277015
X324831	Treatment	Gem	10.4702410032904	2.85556911734543	8	6	0.010496581162181	0.184739828454385
X1282	Treatment	Gem	-6.10725440945956	1.90766857702907	8	8	0.0185666980491686	0.272311571387806
X1283	Treatment	Gem	-3.4487054933328	1.35894524421189	8	7	0.044213041337194	0.333006420711302
X1598	Treatment	Gem	9.15341303866269	3.40938178433434	8	6	0.0363045728708689	0.333006420711302
X1408186	Treatment	Gem	9.50019152183402	3.67691596989122	8	6	0.0415600544224991	0.333006420711302
X1712675	Treatment	Gem	1.25	0.496426848971361	8	3	0.0454099664606321	0.333006420711302
X2107999	Treatment	Gem	0.98364938119459	0.354628598991236	8	3	0.032262420939247	0.333006420711302
X2690380	Treatment	Gem	1.03232075423624	0.382021066590885	8	3	0.0354691531145045	0.333006420711302
X28037	Treatment	Gem	-4.85853672612134	2.00599870416725	8	8	0.051721904840797	0.349284784067298
X1523415	Treatment	Gem	-3.62671559027074	1.53066295216274	8	8	0.0555680338288884	0.349284784067298
X470	Treatment	Gem	-1.08048202372184	0.783445416799931	8	2	0.217054779925678	0.406763067142384
X569	Treatment	Gem	-1.61485790465932	1.30301987032732	8	2	0.261503108261256	0.406763067142384
X729	Treatment	Gem	-1.02186571031258	0.727758469345602	8	2	0.209869624423209	0.406763067142384
X1290	Treatment	Gem	-4.49633732228132	3.87658171526639	8	6	0.290165307696275	0.406763067142384
X1292	Treatment	Gem	-2.84194468661633	2.18801051634394	8	3	0.24166781132844	0.406763067142384
X1303	Treatment	Gem	-3.43821923354357	2.69339128622351	8	8	0.248944935718796	0.406763067142384
X29388	Treatment	Gem	-2.62704975424554	1.83839340840728	8	3	0.202935804159724	0.406763067142384
X29466	Treatment	Gem	-3.52449946564999	2.59372941864088	8	7	0.223052368346962	0.406763067142384
X29486	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X39778	Treatment	Gem	-3.9288654290021	2.12965111074527	8	8	0.114606833181083	0.406763067142384
X40215	Treatment	Gem	-3.41935650575746	1.7729876764003	8	3	0.102044285972321	0.406763067142384
X41202	Treatment	Gem	-1.21449524878189	0.912141368863692	8	2	0.231382998744765	0.406763067142384
X47884	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.406763067142384
X52773	Treatment	Gem	-2.68727961858815	1.56011611787441	8	7	0.135757136497359	0.406763067142384
X237258	Treatment	Gem	-2.68576398967799	1.3067730535754	8	3	0.0856158264967261	0.406763067142384
X261164	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X308354	Treatment	Gem	-2.08048202372184	1.43332809202939	8	3	0.196840234973951	0.406763067142384
X349967	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.406763067142384
X756892	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X768493	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X985762	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X1032069	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749585	0.406763067142384
X1054460	Treatment	Gem	-2.38590668651343	1.93683559775048	8	7	0.264086324510014	0.406763067142384
X1177574	Treatment	Gem	-5.32551988971141	2.96711021624312	8	8	0.122825142251569	0.406763067142384
X1433513	Treatment	Gem	-2.01998882614535	1.46184743239947	8	6	0.216278156398724	0.406763067142384
X1528099	Treatment	Gem	-4.15689089734853	2.59082763163319	8	5	0.159733594730495	0.406763067142384
X1699624	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X2546450	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749585	0.406763067142384
X495	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749586	0.406763067142384
X1605	Treatment	Gem	0.792481250360578	0.682951232361763	8	3	0.289974625729492	0.406763067142384
X487	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X29384	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X33033	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749585	0.406763067142384
X1276282	Treatment	Gem	-1.53232075423624	1.48916758677135	8	3	0.34317206619301	0.406763067142384
X1662285	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.406763067142384
X2231055	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.406763067142384
X1633	Treatment	Gem	0.5	0.288675134594813	8	2	0.133974596215561	0.406763067142384
X28116	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.406763067142384
X104955	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.406763067142384
X182773	Treatment	Gem	1.02886930435498	0.734388073528285	8	2	0.210760212872103	0.406763067142384
X679935	Treatment	Gem	0.914278071619248	0.626938868230105	8	2	0.195028152116437	0.406763067142384
X693746	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.406763067142384
X929102	Treatment	Gem	0.718617279479035	0.451662788718707	8	2	0.162703256445625	0.406763067142384
X1384484	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.406763067142384
X1796613	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.406763067142384
X1796646	Treatment	Gem	0.523815498127593	0.303049518495349	8	2	0.134637163155952	0.406763067142384
X1834205	Treatment	Gem	1.32237665429875	1.0167409927321	8	2	0.241111503182132	0.406763067142384
