feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X521095	Treatment	Gem	-9.10544521218966	1.15395454291331	8	7	0.000219595496468472	0.019104808192757
X1280	Treatment	Gem	-6.54667347213835	1.45030509344802	8	6	0.00404327256755592	0.160217179161542
X1283	Treatment	Gem	-4.47963429454482	1.06002715384948	8	6	0.00552473031591523	0.160217179161542
X1282	Treatment	Gem	-7.43617529998765	2.32032894221528	8	8	0.0184879529236358	0.225838037838508
X1598	Treatment	Gem	8.17421853923499	2.53979279898402	8	8	0.0181724038384469	0.225838037838508
X308354	Treatment	Gem	-3.61485790465932	1.1348812769162	8	4	0.0189501792056486	0.225838037838508
X1408186	Treatment	Gem	8.28206789720526	2.8173353357541	8	8	0.0259583951538515	0.225838037838508
X324831	Treatment	Gem	8.6402773153467	2.62738058879903	8	7	0.01664386489532	0.225838037838508
X2107999	Treatment	Gem	0.854463128721474	0.28948497865913	8	3	0.0255576401972894	0.225838037838508
X2690380	Treatment	Gem	0.788000773361262	0.26509907771045	8	3	0.0248776353264166	0.225838037838508
X2724150	Treatment	Gem	2.98904375078166	1.06162866267014	8	4	0.030533294936674	0.241490605408239
X29380	Treatment	Gem	-4.32668552630151	1.69538588314475	8	5	0.0433714693854178	0.269522702609382
X1276282	Treatment	Gem	-3.59321626502815	1.38616119117012	8	4	0.0410899546039988	0.269522702609382
X1712675	Treatment	Gem	1.09708565815336	0.425778986041816	8	3	0.0419577200043383	0.269522702609382
X28037	Treatment	Gem	-5.61764141399156	2.430555686729	8	8	0.0601650436415667	0.348957253121087
X470	Treatment	Gem	-1.8119818783609	1.49731662492196	8	2	0.271727645653083	0.407432085344919
X569	Treatment	Gem	-0.684241398541551	0.422719795826657	8	2	0.156646847962604	0.407432085344919
X729	Treatment	Gem	-0.695602141231843	0.432196997596886	8	2	0.158641927469412	0.407432085344919
X1290	Treatment	Gem	-4.26541437092368	2.55734715300301	8	6	0.146379305610567	0.407432085344919
X1292	Treatment	Gem	-4.15816361752737	2.47396702764541	8	3	0.143806060990593	0.407432085344919
X1303	Treatment	Gem	-4.40571498007828	2.91938078158052	8	7	0.182002233223235	0.407432085344919
X29388	Treatment	Gem	-3.50593858832485	1.81371223419207	8	3	0.101418920603255	0.407432085344919
X29466	Treatment	Gem	-4.936887869076	3.20080663882051	8	7	0.173919657517296	0.407432085344919
X29486	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.407432085344919
X39778	Treatment	Gem	-5.0652473082703	3.02487215563649	8	8	0.14504797768032	0.407432085344919
X40215	Treatment	Gem	-3.72625647749462	2.19817120258023	8	3	0.140978002075116	0.407432085344919
X41202	Treatment	Gem	-1.01950062800032	0.725521269037762	8	2	0.209566859342963	0.407432085344919
X47884	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.407432085344919
X52773	Treatment	Gem	-3.74143318972977	2.23067105196105	8	7	0.144501865941086	0.407432085344919
X237258	Treatment	Gem	-3.6429676788659	2.06569487332634	8	3	0.128262695273008	0.407432085344919
X261164	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.407432085344919
