feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X521095	Treatment	Gem	-9.10544521218966	1.15395454291331	8	7	0.000219595496468472	0.019104808192757
X1280	Treatment	Gem	-6.54667347213835	1.45030509344802	8	6	0.00404327256755592	0.160217179161542
X1283	Treatment	Gem	-4.47963429454482	1.06002715384948	8	6	0.00552473031591523	0.160217179161542
X1282	Treatment	Gem	-7.43617529998765	2.32032894221528	8	8	0.0184879529236358	0.225838037838508
X1598	Treatment	Gem	8.17421853923499	2.53979279898402	8	8	0.0181724038384469	0.225838037838508
X308354	Treatment	Gem	-3.61485790465932	1.1348812769162	8	4	0.0189501792056486	0.225838037838508
X1408186	Treatment	Gem	8.28206789720526	2.8173353357541	8	8	0.0259583951538515	0.225838037838508
X324831	Treatment	Gem	8.6402773153467	2.62738058879903	8	7	0.01664386489532	0.225838037838508
X2107999	Treatment	Gem	0.854463128721474	0.28948497865913	8	3	0.0255576401972894	0.225838037838508
X2690380	Treatment	Gem	0.788000773361262	0.26509907771045	8	3	0.0248776353264166	0.225838037838508
X2724150	Treatment	Gem	2.98904375078166	1.06162866267014	8	4	0.030533294936674	0.241490605408239
