feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1282	Treatment	Gem	-6.71071354410978	1.55835240687603	8	6	0.00505789694107593	0.222547465407341
X1283	Treatment	Gem	-2.34807935569469	0.804051836910033	8	5	0.0266206166307647	0.237159212322817
X1598	Treatment	Gem	7.21801215931632	2.25843621422933	8	6	0.0186936523137978	0.237159212322817
X1408186	Treatment	Gem	7.51077093048143	2.54395553859751	8	6	0.0255333783899827	0.237159212322817
X324831	Treatment	Gem	7.08222316090252	2.65520017974287	8	5	0.0371600479710818	0.237159212322817
X2107999	Treatment	Gem	0.896240625180289	0.329028506338235	8	3	0.0344638860799795	0.237159212322817
X2724150	Treatment	Gem	3.04503893843616	1.14651724754811	8	4	0.0377298746877209	0.237159212322817
X470	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X569	Treatment	Gem	-0.805598105334112	0.52781584897434	8	2	0.177789424727222	0.381960441097116
X1290	Treatment	Gem	-3.74155876410824	3.1186748832778	8	6	0.275465569557936	0.381960441097116
X29486	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X41202	Treatment	Gem	-0.718617279479035	0.451662788718707	8	2	0.162703256445625	0.381960441097116
X47884	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X261164	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X308354	Treatment	Gem	-0.896240625180289	0.882538282848686	8	3	0.349042351401883	0.381960441097116
X349967	Treatment	Gem	-1.08048202372184	0.783445416799931	8	2	0.217054779925678	0.381960441097116
X756892	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X768493	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X1032069	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X1699624	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X2546450	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X495	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X490	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X33033	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X334413	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.381960441097116
X535289	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.381960441097116
X1662285	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749586	0.381960441097116
X2231055	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.381960441097116
X1633	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.381960441097116
X182773	Treatment	Gem	0.5	0.288675134594813	8	2	0.133974596215561	0.381960441097116
X679935	Treatment	Gem	1	0.707106781186547	8	2	0.20703125	0.381960441097116
X929102	Treatment	Gem	0.830482023721841	0.550193035134546	8	2	0.181925051826195	0.381960441097116
X1712675	Treatment	Gem	1.14624062518029	0.846388693623389	8	2	0.224427472056466	0.381960441097116
X1796646	Treatment	Gem	0.557831386526614	0.325507191077445	8	2	0.137409532657554	0.381960441097116
X1834205	Treatment	Gem	0.896240625180289	0.610262381906364	8	2	0.192320805162405	0.381960441097116
X2576606	Treatment	Gem	2.2928817765097	1.18475413982583	8	3	0.101095352362987	0.381960441097116
X2585119	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.381960441097116
X42858	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.381960441097116
X53458	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.381960441097116
X157687	Treatment	Gem	0.25	0.25	8	1	0.355917683749583	0.381960441097116
X767453	Treatment	Gem	0.250000000000001	0.25	8	1	0.355917683749581	0.381960441097116
X40324	Treatment	Gem	-2.43536674660029	2.69697878444503	8	2	0.401323988608278	0.420434654732482
X74426	Treatment	Gem	-1.89246390208274	2.1570005961352	8	2	0.414037721401802	0.423666505620449
X1622	Treatment	Gem	1.03323933443863	1.90016559958225	8	4	0.606203382114472	0.606203382114472
