feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X521095	Treatment	Gem	-7.8486662762602	1.5001378637047	8	8	0.0019534801604447	0.288892310271737
X2382163	Treatment	Gem	-2.22672264890213	0.490243338999597	8	4	0.00392460895296295	0.288892310271737
X2724150	Treatment	Gem	2.90768934498353	0.679792422218791	8	4	0.0052209453663567	0.288892310271737
X889201	Treatment	Gem	-2.72672264890213	0.68441142422814	8	4	0.0072497223849473	0.300863478975313
X324831	Treatment	Gem	10.712573484471	2.95194063225394	8	7	0.0109783669821931	0.364481783808811
X1598	Treatment	Gem	9.9314063712224	2.98374426034261	8	8	0.0158360884282801	0.41476362418516
X1408186	Treatment	Gem	10.4200707379974	3.20724214892369	8	8	0.0174900323451574	0.41476362418516
X294	Treatment	Gem	-1.5619818783609	1.2510526778493	8	2	0.258343375264798	0.416072785228388
X296	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.416072785228388
X470	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.416072785228388
X569	Treatment	Gem	-0.951838730514401	0.661894615401626	8	2	0.200462141604085	0.416072785228388
X729	Treatment	Gem	-2.73854907759672	1.7434819410643	8	3	0.167299526904716	0.416072785228388
X1280	Treatment	Gem	-3.93030120810803	1.69384347635811	8	6	0.0594208981911201	0.416072785228388
X1282	Treatment	Gem	-5.39153527599916	2.3256511630618	8	8	0.0595882907529129	0.416072785228388
X1283	Treatment	Gem	-3.16810633549287	1.7596404875518	8	7	0.121880125864731	0.416072785228388
X1290	Treatment	Gem	-4.00818934995293	3.40416204906332	8	8	0.283605722992172	0.416072785228388
X1292	Treatment	Gem	-4.07451564192975	2.55342102088506	8	3	0.161665802717488	0.416072785228388
X1303	Treatment	Gem	-3.1698902291484	2.61492427447437	8	8	0.270988083174492	0.416072785228388
X1308	Treatment	Gem	-1.85129135410808	1.47942365942266	8	6	0.257381117510593	0.416072785228388
