feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X521095	Treatment	Gem	-7.73673292960501	1.49275560628919	8	8	0.00204865083557574	0.167989368517211
X2382163	Treatment	Gem	-1.5	0.288675134594813	8	4	0.00202236774054272	0.167989368517211
X2724150	Treatment	Gem	1.53956788907932	0.337196327315027	8	4	0.00382744254738066	0.209233525923476
X294	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X296	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X470	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.419931655646994
X569	Treatment	Gem	-1.27186571031258	0.967676897623313	8	2	0.236735745130186	0.419931655646994
X729	Treatment	Gem	-2.32977689395625	1.67314382872881	8	4	0.213198932903439	0.419931655646994
X1280	Treatment	Gem	-4.19685676396969	1.50656932746509	8	6	0.0317569915232154	0.419931655646994
X1282	Treatment	Gem	-5.62782861310283	2.42099791835058	8	8	0.0590765223563202	0.419931655646994
X1283	Treatment	Gem	-2.62656311884757	2.00731292228361	8	6	0.238589993339149	0.419931655646994
X1292	Treatment	Gem	-3.34619593752334	2.6399621233418	8	4	0.251939444470667	0.419931655646994
X1303	Treatment	Gem	-3.34614297854687	2.14713185590122	8	8	0.170144839176462	0.419931655646994
X1304	Treatment	Gem	-2.20778337873836	2.18150556394251	8	6	0.350574202644258	0.419931655646994
X1308	Treatment	Gem	-2.46315945583932	1.67356372949961	8	6	0.191489010119214	0.419931655646994
X1313	Treatment	Gem	-2.26944466438585	1.9968531580243	8	7	0.299088292433435	0.419931655646994
X1598	Treatment	Gem	10.2139885470582	3.49827626148929	8	4	0.0266410008915665	0.419931655646994
X1660	Treatment	Gem	-2.58548435442811	1.20925473385797	8	8	0.0763524504658213	0.419931655646994
X1747	Treatment	Gem	-2.73314976745151	1.00063115196774	8	8	0.0341214188478139	0.419931655646994
X28037	Treatment	Gem	-3.54551401715916	1.43470828798909	8	8	0.0483760589304682	0.419931655646994
X28132	Treatment	Gem	-2.39840388461674	1.38842544867448	8	8	0.134833491246322	0.419931655646994
X29380	Treatment	Gem	-2.60446312872147	1.14773341832217	8	5	0.0637356699636606	0.419931655646994
X29388	Treatment	Gem	-5.5659662966882	2.37772594696835	8	4	0.0577745257177177	0.419931655646994
X29466	Treatment	Gem	-3.01069773126804	2.37346413156817	8	7	0.251617368792044	0.419931655646994
X29486	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X39777	Treatment	Gem	-4.55290974165691	1.68826856835919	8	8	0.0357281639206763	0.419931655646994
X39778	Treatment	Gem	-3.08488811240238	1.86590157857098	8	8	0.149356124873225	0.419931655646994
X40215	Treatment	Gem	-3.45388335048612	1.78811990453858	8	3	0.101622391624269	0.419931655646994
X41202	Treatment	Gem	-0.65700780565326	0.400400698784529	8	2	0.151932622331931	0.419931655646994
X47884	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X52773	Treatment	Gem	-1.58142005743712	1.36340444267023	8	8	0.290152623410872	0.419931655646994
X78535	Treatment	Gem	-0.805598105334112	0.52781584897434	8	2	0.177789424727223	0.419931655646994
X86185	Treatment	Gem	-0.250000000000001	0.25	8	1	0.355917683749581	0.419931655646994
X114527	Treatment	Gem	-5.33696052456805	3.26541415573912	8	7	0.153294915196464	0.419931655646994
X122355	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X192087	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X200450	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.419931655646994
X237258	Treatment	Gem	-2.48929535662195	1.17629895189222	8	3	0.0786945210309076	0.419931655646994
X248315	Treatment	Gem	-2.55720467262397	0.867935532282626	8	6	0.025736009658105	0.419931655646994
X308354	Treatment	Gem	-2.02713111419454	1.65794936792645	8	4	0.267296591161583	0.419931655646994
X321846	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.419931655646994
X349967	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.419931655646994
X653931	Treatment	Gem	-2.78876176122719	1.15236529627609	8	8	0.0518608078703974	0.419931655646994
X756892	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X768493	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X889201	Treatment	Gem	-1.97672264890213	0.550307669793429	8	5	0.0114758236754004	0.419931655646994
X985762	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.419931655646994
X1032069	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.419931655646994
X1054460	Treatment	Gem	-1.69917872463398	1.1397405192433	8	8	0.186592586729092	0.419931655646994
X1177574	Treatment	Gem	-3.98896948758573	2.31762923822869	8	8	0.136009614329332	0.419931655646994
X1282356	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.419931655646994
X1408186	Treatment	Gem	10.9474309050572	4.00436758191904	8	6	0.0340108675552457	0.419931655646994
X1433513	Treatment	Gem	-1.75654738099522	1.25914642198807	8	7	0.212460203602722	0.419931655646994
X1523415	Treatment	Gem	-2.58738004132312	1.13249738428091	8	8	0.0623988203016373	0.419931655646994
X1528099	Treatment	Gem	-3.2490599963911	2.27220406705929	8	6	0.202682390194741	0.419931655646994
X1560345	Treatment	Gem	-1.89624062518029	0.825457491681622	8	4	0.0613354903962076	0.419931655646994
X1699624	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.419931655646994
X1805933	Treatment	Gem	-1.09675578077731	0.798980218038538	8	2	0.218944637958447	0.419931655646994
X1886807	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.419931655646994
