feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2724150	Treatment	Gem	1.89496362190903	0.368817089109364	8	4	0.00214030166150105	0.2033286578426
X294	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.388645746623114
X296	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.388645746623114
X488	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X729	Treatment	Gem	-0.756165513558567	0.484089463002016	8	2	0.16930528548571	0.388645746623114
X1280	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.388645746623114
X1282	Treatment	Gem	-0.249999999999996	0.25	8	1	0.355917683749588	0.388645746623114
X1283	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.388645746623114
X1290	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X1292	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.388645746623114
X1303	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749586	0.388645746623114
X1308	Treatment	Gem	-1.03238320316034	0.737716934915221	8	2	0.211203698159255	0.388645746623114
X1313	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.388645746623114
X1335	Treatment	Gem	-1.02752247944569	0.831445318614104	8	5	0.262709532572637	0.388645746623114
X1598	Treatment	Gem	0.794291961242682	0.26754994728694	8	3	0.0249975806635237	0.388645746623114
X1660	Treatment	Gem	-0.250000000000001	0.25	8	1	0.355917683749581	0.388645746623114
X28037	Treatment	Gem	-0.594527070612754	0.351820584886028	8	2	0.142013632179566	0.388645746623114
X28132	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.388645746623114
X29380	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X29388	Treatment	Gem	-0.249999999999997	0.25	8	1	0.355917683749587	0.388645746623114
X29466	Treatment	Gem	0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X39777	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.388645746623114
X40215	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X41202	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.388645746623114
X47884	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X86185	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.388645746623114
X113107	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749585	0.388645746623114
X114527	Treatment	Gem	-0.249999999999997	0.25	8	1	0.355917683749587	0.388645746623114
X122355	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X200450	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.388645746623114
X237258	Treatment	Gem	-0.759324635355742	0.486851255471632	8	2	0.169856193573116	0.388645746623114
X308354	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.388645746623114
