feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X294	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X296	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.392736754482304
X488	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X729	Treatment	Gem	-0.722454270562394	0.454940281076075	8	2	0.163380777994195	0.392736754482304
X1280	Treatment	Gem	-0.250000000000001	0.25	8	1	0.355917683749581	0.392736754482304
X1282	Treatment	Gem	-0.249999999999996	0.25	8	1	0.355917683749588	0.392736754482304
X1283	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.392736754482304
X1290	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749587	0.392736754482304
X1292	Treatment	Gem	-0.249999999999997	0.25	8	1	0.355917683749587	0.392736754482304
X1303	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X1308	Treatment	Gem	-0.923295975534574	0.635304237943227	8	2	0.196357901987503	0.392736754482304
X1313	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X1598	Treatment	Gem	1.08025129291976	0.425522790083589	8	3	0.0441615481609243	0.392736754482304
X1660	Treatment	Gem	-0.250000000000001	0.25	8	1	0.35591768374958	0.392736754482304
X28037	Treatment	Gem	-0.694829171206838	0.431549297711657	8	2	0.158505868649661	0.392736754482304
X28132	Treatment	Gem	0.250000000000001	0.25	8	1	0.35591768374958	0.392736754482304
X29380	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749585	0.392736754482304
X29388	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X29466	Treatment	Gem	0.250000000000001	0.25	8	1	0.35591768374958	0.392736754482304
X39777	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749586	0.392736754482304
X40215	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749585	0.392736754482304
X41202	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.392736754482304
X47884	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.392736754482304
X86185	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X113107	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X114527	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749586	0.392736754482304
X122355	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X200450	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.392736754482304
X237258	Treatment	Gem	-0.856633284529168	0.573932395389142	8	2	0.186155773337457	0.392736754482304
X308354	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X321846	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X521095	Treatment	Gem	-1.05503054505638	0.424804401780556	8	3	0.0475748337109137	0.392736754482304
X760570	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749586	0.392736754482304
X1032069	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749584	0.392736754482304
X1054460	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.392736754482304
X1282356	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.392736754482304
X1408186	Treatment	Gem	1.26030777346888	0.500181050467452	8	3	0.0453052584458129	0.392736754482304
X1528099	Treatment	Gem	-2.18386659067719	1.55518172541626	8	3	0.20983446721976	0.392736754482304
X1699624	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X1805933	Treatment	Gem	-0.984649863833963	0.692653433153215	8	2	0.204985437866016	0.392736754482304
X1852377	Treatment	Gem	0.25	0.25	8	1	0.355917683749581	0.392736754482304
X1886807	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X2546450	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.392736754482304
X2610896	Treatment	Gem	-0.737968000618613	0.468278517043677	8	2	0.166115558090615	0.392736754482304
X495	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X1605	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.392736754482304
X28090	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.392736754482304
X324831	Treatment	Gem	1.28355636377974	0.511465303299345	8	3	0.0459301198290921	0.392736754482304
X2725684	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X28449	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X33033	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X334413	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X575614	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X1276282	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X2025492	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.392736754482304
X34062	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.392736754482304
X401472	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749585	0.392736754482304
X418223	Treatment	Gem	-0.249999999999998	0.25	8	1	0.355917683749585	0.392736754482304
X693986	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749583	0.392736754482304
X908290	Treatment	Gem	-0.25	0.25	8	1	0.355917683749582	0.392736754482304
X1479019	Treatment	Gem	-0.25	0.25	8	1	0.355917683749581	0.392736754482304
X1662285	Treatment	Gem	-0.249999999999999	0.25	8	1	0.355917683749584	0.392736754482304
X2231055	Treatment	Gem	-0.25	0.25	8	1	0.355917683749583	0.392736754482304
X182773	Treatment	Gem	0.763611946005594	0.490607011852379	8	2	0.170602259590538	0.392736754482304
X679935	Treatment	Gem	1.28544349028204	0.980851317234395	8	2	0.237941720092836	0.392736754482304
X929102	Treatment	Gem	0.947693009465499	0.658022315132835	8	2	0.199875858270791	0.392736754482304
X1712675	Treatment	Gem	0.852347734034426	0.288532735493397	8	3	0.0254778741892888	0.392736754482304
X1796613	Treatment	Gem	0.25	0.25	8	1	0.355917683749583	0.392736754482304
X1796646	Treatment	Gem	0.871967341682562	0.587947404540501	8	2	0.188578022190416	0.392736754482304
X1834198	Treatment	Gem	0.250000000000001	0.25	8	1	0.35591768374958	0.392736754482304
X1834205	Treatment	Gem	0.757812733496111	0.485528904101606	8	2	0.16959265783778	0.392736754482304
X2107999	Treatment	Gem	1.07418738297284	0.395525268129873	8	3	0.0348342371841356	0.392736754482304
X2576606	Treatment	Gem	2.58285216896244	1.27002077192613	8	3	0.0882095665806969	0.392736754482304
X2585119	Treatment	Gem	1.38250907255439	1.07532566570579	8	2	0.245947947243882	0.392736754482304
X2610895	Treatment	Gem	0.250000000000001	0.25	8	1	0.355917683749581	0.392736754482304
X2650158	Treatment	Gem	0.250000000000001	0.25	8	1	0.355917683749581	0.392736754482304
X2690380	Treatment	Gem	1.2092616517486	0.475034985424528	8	3	0.0437477436761415	0.392736754482304
X2724150	Treatment	Gem	1.94745718607172	0.590328825237692	8	4	0.0164296474272615	0.392736754482304
X2728020	Treatment	Gem	0.250000000000001	0.25	8	1	0.355917683749581	0.392736754482304
X285	Treatment	Gem	0.25	0.25	8	1	0.355917683749581	0.392736754482304
X1270	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.392736754482304
X42858	Treatment	Gem	0.250000000000001	0.25	8	1	0.355917683749581	0.392736754482304
X147467	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.392736754482304
X2487071	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.392736754482304
X157687	Treatment	Gem	0.250000000000001	0.25	8	1	0.35591768374958	0.392736754482304
X767453	Treatment	Gem	0.25	0.25	8	1	0.355917683749582	0.392736754482304
X908937	Treatment	Gem	0.250000000000001	0.25	8	1	0.35591768374958	0.392736754482304
X74426	Treatment	Gem	-2.38020377146107	2.64205826571029	8	2	0.40235808157886	0.43893608899512
X40324	Treatment	Gem	-1.37962363221398	1.64868832186993	8	2	0.434760383561985	0.463744409132784
X535289	Treatment	Gem	-1.42924772360123	1.69775525833965	8	2	0.432142048701852	0.463744409132784
X490	Treatment	Gem	-1.10473813732056	1.37761221710276	8	2	0.453179111690413	0.478079062882194
X1622	Treatment	Gem	1.37419963195403	1.79315183476841	8	4	0.472526289756512	0.493070911050273
X38289	Treatment	Gem	-1.15191298725731	1.84943729044459	8	3	0.556303545981308	0.574248821658125
X1335	Treatment	Gem	-0.295909713083709	0.914966964899668	8	5	0.75735954498837	0.767243178665166
X1379	Treatment	Gem	-0.151806315284089	0.473231777253153	8	2	0.759251062220737	0.767243178665166
X1177574	Treatment	Gem	-0.0722420924679189	0.590872172195095	8	3	0.906682627658087	0.906682627658087
