TaxaID	superkingdom	phylum	class	order	family	genus	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
Dysosmobacter	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	0.134615384615385	0	0	0.00103621384666389	0	0.028169014084507
Anaerococcus	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	0.25	0	0	0.00858142170540534	0.000501002004008016	0.170731707317073
Lachnospiraceae_unclassified	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	0.153846153846154	0	0	0.00385457172839409	0	0.11875
Campylobacter	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0.25	0	0	0.00641603172518103	0.000510204081632653	0.217303822937626
Mesorhizobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	0.365384615384615	0	0	0.0153655641343011	0.00605758849702284	0.377358490566038
Faecalibacterium	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	0.139423076923077	0	0	0.00430241916712692	0	0.0935550935550936
Finegoldia	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	0.216346153846154	0	0	0.0131655026888652	0	0.351129363449692
Peptostreptococcaceae_unclassified	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_unclassified	0.110576923076923	0	0	0.00499992798546515	0	0.206122448979592
Peptoniphilus	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	0.197115384615385	0	0	0.0103274304654315	0	0.2217659137577
Anaerobutyricum	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum	0.134615384615385	0	0	0.0019068834537763	0	0.049079754601227
Blautia	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	0.192307692307692	0	0	0.00766455863084428	0	0.257201646090535
Anaerostipes	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	0.139423076923077	0	0	0.00128182239115008	0	0.0526315789473684
Dialister	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	0.197115384615385	0	0	0.00339409587248706	0	0.0836734693877551
Mediterraneibacter	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	0.144230769230769	0	0	0.000880063083046682	0	0.01417004048583
Ruminococcus	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	0.139423076923077	0	0	0.00261522867123682	0	0.117283950617284
Escherichia	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	0.4375	0	0	0.0344498236851839	0.0118028169014084	0.780933062880324
Lachnospira	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	0.100961538461538	0	0	0.000683051588924935	0	0.0166666666666667
Caproiciproducens	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	0.0480769230769231	0	0	0.00016787792670324	0	0.00823045267489712
