TaxaID	superkingdom	phylum	class	order	family	genus	species	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
2093857	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis	0.134615384615385	0	0	0.00103621384666389	0	0.028169014084507
525919	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii	0.230769230769231	0	0	0.0059564888696977	0	0.132113821138211
2093742	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium KM106-2	0.0721153846153846	0	0	0.00019781353222815	0	0.00622406639004149
360107	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hominis	0.0913461538461538	0	0	0.00331909754573427	0	0.217303822937626
2725666	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium terrae	0.350961538461538	0	0	0.0126331769193564	0.00437487232862854	0.225469728601253
853	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii	0.139423076923077	0	0	0.00430241916712692	0	0.0935550935550936
334413	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna	0.216346153846154	0	0	0.0131655026888652	0	0.351129363449692
2081703	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_unclassified	Peptostreptococcaceae bacterium oral taxon 929	0.110576923076923	0	0	0.00499992798546515	0	0.206122448979592
54005	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei	0.1875	0	0	0.00755951861205587	0	0.154004106776181
39488	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	0.134615384615385	0	0	0.0019068834537763	0	0.049079754601227
54006	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus ivorii	0.110576923076923	0	0	0.00241154429985451	0	0.0552147239263804
2479767	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia sp. SC05B48	0.173076923076923	0	0	0.00631964967275862	0	0.220164609053498
649756	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	0.139423076923077	0	0	0.00128182239115008	0	0.0526315789473684
39950	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister pneumosintes	0.158653846153846	0	0	0.00143355968878386	0	0.0346938775510204
2582419	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister hominis	0.0913461538461538	0	0	0.000394687688292276	0	0.0120724346076459
2161821	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister massiliensis	0.129807692307692	0	0	0.00156584849541092	0	0.0489795918367347
411470	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus	0.144230769230769	0	0	0.000880063083046682	0	0.01417004048583
2564099	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus bovis	0.129807692307692	0	0	0.00172778990805071	0	0.0452674897119342
562	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	0.4375	0	0	0.0336817119620226	0.0105407631726804	0.77079107505071
1898203	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium	0.129807692307692	0	0	0.0020987779561354	0	0.09375
515620	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	Lachnospira eligens	0.100961538461538	0	0	0.000683051588924935	0	0.0166666666666667
2507162	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	Caproiciproducens sp. NJN-50	0.0480769230769231	0	0	0.00016787792670324	0	0.00823045267489712
2109690	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium Choco86	0.125	0	0	0.00101710677002451	0	0.034412955465587
623	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	0.149038461538462	0	0	0.000802998485563961	0	0.0224032586558045
114527	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Mogibacterium	Mogibacterium diversum	0.288461538461538	0	0	0.00687405949855241	0.00205444435994288	0.0955284552845529
347253	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	0.326923076923077	0	0	0.00436382085685023	0.00208008489258489	0.134268537074148
2086584	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Massilistercora	Massilistercora timonensis	0.0673076923076923	0	0	0.000266997626489694	0	0.0082135523613963
200	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus	0.0480769230769231	0	0	0.0001602503977029	0	0.00819672131147541
