TaxaID	superkingdom	phylum	class	order	family	genus	species	unique	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
2093857	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis	2093857	0.15	0	0	0.000937978305720202	0	0.022146951537259
525919	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii	525919	0.263636363636364	0	0	0.00576720737226515	0.00034567286660331	0.119482907832107
2093742	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium KM106-2	2093742	0.140909090909091	0	0	0.000183750450370207	0	0.00462744357351969
360107	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hominis	360107	0.113636363636364	0	0	0.00304649609170157	0	0.223039475076728
2725666	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium terrae	2725666	0.413636363636364	0	0	0.0113323215535426	0.00454887282854777	0.232438831886346
244566	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lurida	244566	0.05	0	0	1.41362369130602e-05	0	0.000677506775067751
853	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii	853	0.145454545454545	0	0	0.00422334987664699	0	0.0827384815055159
334413	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna	334413	0.268181818181818	0	0	0.0124221719643152	0.000119383679997022	0.338923028851161
2081703	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_unclassified	Peptostreptococcaceae bacterium oral taxon 929	2081703	0.140909090909091	0	0	0.00449335351921519	0	0.189884053100319
54005	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei	54005	0.209090909090909	0	0	0.00730881479588289	0	0.1741833090861
39488	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	39488	0.168181818181818	0	0	0.00188096983232218	0	0.0448300795372379
54006	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus ivorii	54006	0.118181818181818	0	0	0.0021827019565853	0	0.051778865229467
2479767	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia sp. SC05B48	2479767	0.222727272727273	0	0	0.00609248803450353	0	0.213652944241793
