feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X712633	sample_type	paraffin_ctrl	-3.93127026560801	0.707425570889895	17	10	5.4864720727669e-05	0.0019735855956189
X1560345	sample_type	paraffin_ctrl	2.76346984985781	0.49678506582587	17	12	5.4298749311759e-05	0.0019735855956189
X152682	sample_type	paraffin_ctrl	2.93557117989776	0.556202622434185	17	12	9.28746162644187e-05	0.0019735855956189
X93064	sample_type	paraffin_ctrl	3.02078423238116	0.562919387715658	17	12	7.85334270396105e-05	0.0019735855956189
X13689	sample_type	paraffin_ctrl	2.37681610484029	0.504966447479544	17	9	0.000280885257726995	0.00406603417756869
X653931	sample_type	paraffin_ctrl	4.02477404663562	0.87154853674798	17	16	0.000334849873446833	0.00406603417756869
X335406	sample_type	paraffin_ctrl	2.3308473858659	0.501323909941628	17	11	0.000314655162551727	0.00406603417756869
X1523415	sample_type	paraffin_ctrl	4.01957381350126	0.933138431332478	17	17	0.00062223789314147	0.00661127761462812
X2725666	sample_type	paraffin_ctrl	-1.95198507713919	0.496986668573647	17	7	0.00134334584657848	0.0126871552176856
X2711215	sample_type	paraffin_ctrl	1.72786075393147	0.500562759929562	17	7	0.00355840670463505	0.030246456989398
X28132	sample_type	paraffin_ctrl	-2.56636845149787	0.830721726848458	17	5	0.00747853198615966	0.0467347187989841
X1177574	sample_type	paraffin_ctrl	-2.06281254256615	0.662818899812078	17	5	0.00713737911567644	0.0467347187989841
X760570	sample_type	paraffin_ctrl	-2.07061202082591	0.667378328230561	17	7	0.00727838133910406	0.0467347187989841
X84135	sample_type	paraffin_ctrl	-1.9559197908499	0.636032225963258	17	6	0.00769748309630326	0.0467347187989841
X39777	sample_type	paraffin_ctrl	-1.94623195104137	0.641376335650808	17	5	0.00836433636272053	0.0473979060554163
X1870984	sample_type	paraffin_ctrl	2.30941173457951	0.771869853090102	17	7	0.00912062570548734	0.0484533240604015
X40324	sample_type	paraffin_ctrl	1.81595579308286	0.619113878092994	17	6	0.0102792874980428	0.0513964374902141
X1379	sample_type	paraffin_ctrl	-2.38832036755561	0.864682841316594	17	6	0.0145287891004251	0.0686081707520072
X39778	sample_type	paraffin_ctrl	-0.648184483538277	0.239835595484119	17	4	0.016372535358892	0.0695832752752912
X2057741	sample_type	paraffin_ctrl	1.79858249158012	0.6649614211039	17	8	0.0163013584444344	0.0695832752752912
X190721	sample_type	paraffin_ctrl	-1.69528030302763	0.650884853566782	17	5	0.0199166398318302	0.0769506538957077
X1660	sample_type	paraffin_ctrl	-0.707839063897899	0.270686240662662	17	4	0.0195081675401258	0.0769506538957077
X114527	sample_type	paraffin_ctrl	-1.375	0.559327473151661	17	4	0.0266033699209586	0.0912855151534329
X1433513	sample_type	paraffin_ctrl	-2.02817428039926	0.826598250888711	17	8	0.0268486809274803	0.0912855151534329
X43675	sample_type	paraffin_ctrl	-0.931401388979041	0.37805581251618	17	4	0.0263248570013787	0.0912855151534329
X525919	sample_type	paraffin_ctrl	2.59231123398487	1.10378575596434	17	7	0.0329700921653542	0.0921028939809835
X2564099	sample_type	paraffin_ctrl	-1.46428068970827	0.610835589603326	17	4	0.0299899539723942	0.0921028939809835
X1458465	sample_type	paraffin_ctrl	-1.41524101186092	0.610212996534346	17	4	0.0348993263366924	0.0921028939809835
X1282	sample_type	paraffin_ctrl	2.5525921543768	1.10659595733418	17	12	0.0357575941337936	0.0921028939809835
X1313	sample_type	paraffin_ctrl	-2.08806334264749	0.880236965786714	17	10	0.0314902220822027	0.0921028939809835
X267747	sample_type	paraffin_ctrl	2.88541154199653	1.23475056372576	17	15	0.0337296528813355	0.0921028939809835
X1054460	sample_type	paraffin_ctrl	-1.25452170156919	0.516468062633928	17	4	0.0281768206060863	0.0921028939809835
X52773	sample_type	paraffin_ctrl	-0.93648163704121	0.397606736704561	17	4	0.0325413129157942	0.0921028939809835
X334413	sample_type	paraffin_ctrl	0.705610805231571	0.311091377971276	17	4	0.0385176177574696	0.0937739512823201
X424800	sample_type	paraffin_ctrl	0.910769788320818	0.401769455757805	17	7	0.0386128034691906	0.0937739512823201
X1852377	sample_type	paraffin_ctrl	-1.2259193652572	0.562311528456111	17	4	0.0455886851769111	0.107639951112151
X29466	sample_type	paraffin_ctrl	-1.75550783999236	0.82207056427352	17	9	0.0496212505259345	0.113994764721742
X1343	sample_type	paraffin_ctrl	-1.14926358140553	0.544439287423546	17	6	0.0519761865808306	0.116262522615016
X729	sample_type	paraffin_ctrl	-0.606468630177007	0.305022350421033	17	3	0.065347087057519	0.142423138458695
X1898203	sample_type	paraffin_ctrl	-0.962554964767637	0.506238561500492	17	3	0.0766374862443275	0.152538408262804
X33035	sample_type	paraffin_ctrl	-0.771240625180289	0.402456313351271	17	3	0.0745780230849763	0.152538408262804
X29388	sample_type	paraffin_ctrl	-0.68648163704121	0.359094884439042	17	3	0.0752110896707752	0.152538408262804
