feature	X525919	X2725666	X853	X334413	X54005	X39488	X2479767	X649756	X2161821	X2564099	X562	X1898203	X2109690	X114527	X347253	X28037	X33035	X1550024	X1308	X1870984	X1343	X1458465	X1282	X565651	X29388	X39778	X29466	X1303	X712633	X1433513	X1280	X1379	X2109691	X28132	X729	X13689	X1160721	X1177574	X113107	X1313	X39777	X28135	X46125	X1305	X760570	X267747	X28131	X190721	X408	X1290	X33011	X2714946	X1054460	X521095	X726	X84135	X1302	X223967	X1660	X52773	X1016987	X1549858	X1523415	X1560345	X653931	X152682	X1274	X335406	X93064	X2711215	X424800	X375	X929102	X1852377	X2500532	X29379	X43675	X1270	X40324	X1176536	X257708	X2057741	X1827469	X1170318	X1499308
buffer_ctrl_49	2	26	0	0	0	0	0	0	10	0	2	0	0	8	2	19	0	0	0	0	0	10	17	0	6	26	6	2	10	2	0	1	0	77	0	0	0	36	1	7	19	5	0	0	1	61	1	7	0	0	12	1	0	0	0	3	0	0	49	2	5	0	3	3	4	0	0	0	2	0	0	0	0	2	0	2	10	0	0	0	0	0	0	10	0
buffer_ctrl_50	0	11	0	0	0	0	0	1	0	1	9	0	0	4	17	1	0	0	1	0	3	2	17	0	4	19	7	3	11	0	4	1	0	90	0	0	0	24	0	1	16	1	0	0	1	80	11	3	1	8	2	1	0	3	0	9	0	0	45	3	0	0	1	0	2	0	0	0	0	0	0	0	0	14	0	29	5	4	0	0	0	0	0	0	0
buffer_ctrl_51	0	108	0	0	0	0	0	0	0	0	1	0	0	4	8	0	0	0	3	0	1	1	0	0	0	20	2	0	19	0	0	0	0	70	0	0	0	17	0	0	16	8	0	0	11	26	1	18	0	0	0	0	0	8	0	5	0	0	64	3	1	1	9	0	7	0	0	0	0	0	0	0	0	1	4	0	4	0	0	0	11	0	0	0	0
buffer_ctrl_52	0	50	0	0	0	0	0	0	0	0	1	0	0	0	12	2	0	0	1	0	0	8	0	0	0	30	1	1	37	0	0	1	0	61	0	3	0	16	0	0	5	0	0	0	17	36	0	0	13	0	0	4	0	0	0	11	0	0	92	10	0	0	28	0	9	1	0	0	1	0	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0
buffer_ctrl_61	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	23	0	5	0	0	0	0	0	0	0	4	3	202	21	153	10	0	6	6	0	1	2	0	0	0	0	0	1	0	5	0	4	0	0	0
paraffin_ctrl_63	0	0	6	0	0	0	0	0	0	0	1	0	0	0	9	7	0	3	1	1	0	0	71	0	0	0	11	4	3	1	0	0	0	0	0	5	0	0	0	3	0	0	0	1	1	20	0	0	2	0	0	2	0	0	0	0	0	5	0	0	2	0	128	20	121	10	0	1	10	1	1	1	0	0	0	0	0	0	0	2	0	9	0	0	0
paraffin_ctrl_64	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	10	0	0	16	12	0	0	0	24	0	2	2	0	0	0	0	21	0	0	0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	113	19	84	5	11	4	4	1	1	1	0	0	8	0	0	37	0	0	0	0	0	0	0
paraffin_ctrl_65	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	85	19	81	3	0	4	2	1	0	3	0	0	0	0	0	0	0	1	0	7	0	6	0
paraffin_ctrl_66	22	0	0	15	8	0	0	0	0	0	1	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	47	0	0	0	0	8	3	0	0	0	0	0	0	0	0	1	1	164	13	39	10	0	6	16	5	0	1	0	0	0	0	0	0	28	1	0	1	52	1	0
paraffin_ctrl_67	0	0	0	20	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	195	32	124	7	0	5	12	5	5	0	0	0	0	0	0	2	3	0	0	4	0	0	0
paraffin_ctrl_68	13	0	0	0	7	0	0	0	0	0	7	0	0	0	24	0	0	0	2	9	3	0	37	0	0	0	0	0	5	0	2	0	0	0	0	32	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	131	23	111	9	0	5	5	5	0	3	20	0	0	0	0	0	9	1	0	2	9	0	0
paraffin_ctrl_69	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	2	0	1	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	63	0	0	4	0	6	0	0	0	0	0	0	13	0	0	2	1	165	23	114	10	0	5	11	0	1	0	0	0	0	0	0	10	11	0	0	0	8	1	0
paraffin_ctrl_70	65	0	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0	13	19	0	0	12	0	0	0	7	0	0	0	0	0	0	0	0	16	0	0	0	1	0	1	0	0	0	156	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	77	10	49	7	0	3	5	0	2	1	0	0	0	0	0	0	2	1	0	6	0	0	0
paraffin_ctrl_71	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	6	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	38	0	0	8	11	1	0	0	0	0	0	0	0	0	0	2	1	99	15	84	8	0	4	12	3	1	0	0	0	12	0	0	4	5	0	0	2	9	0	28
buffer_ctrl_72	0	9	9	0	0	6	28	0	4	7	0	8	3	1	0	97	4	7	1	0	5	0	1	0	0	0	8	28	14	23	0	36	0	0	24	0	0	0	3	29	2	0	1	3	0	0	0	1	0	0	0	3	15	0	33	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_73	0	9	4	0	0	1	5	10	0	3	0	2	1	0	9	114	2	0	2	0	3	0	0	0	0	0	8	43	31	17	0	35	5	0	63	0	0	0	20	22	0	0	10	5	3	1	0	0	0	0	0	0	7	0	1	2	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_74	1	15	21	0	1	14	48	26	0	10	0	13	17	0	1	15	9	4	0	1	2	0	15	0	15	0	4	2	13	3	1	7	6	5	33	0	12	3	0	5	0	0	0	1	5	0	0	1	0	0	0	0	2	0	0	0	5	0	0	0	0	2	36	6	13	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
