feature	X525919	X2725666	X853	X334413	X54005	X39488	X2479767	X649756	X2161821	X2564099	X562	X1898203	X2109690	X114527	X347253	X28037	X33035	X1550024	X1308	X1870984	X1343	X1458465	X1282	X565651	X29388	X39778	X29466	X1303	X712633	X1433513	X1280	X1379	X2109691	X28132	X729	X13689	X1160721	X1177574	X113107	X1313	X39777	X28135	X46125	X1305	X760570	X267747	X28131	X190721	X408	X1290	X33011	X2714946	X1054460	X521095	X726	X84135	X1302	X223967	X1660	X52773	X1016987	X1549858	X1523415	X1560345	X653931	X152682	X1274	X335406	X93064	X2711215	X424800	X375	X929102	X1852377	X2500532	X29379	X43675	X1270	X40324	X1176536	X257708	X2057741	X1827469	X1170318	X1499308
buffer_ctrl_49	1	4.70043971814109	1	2.32192809488736	-1	-1	1.32192809488736	-1	3.32192809488736	-1	1	0	-1	3	1	4.24792751344359	0	0.584962500721156	-1	-1	-1	3.32192809488736	4.08746284125034	2.58496250072116	2.58496250072116	4.70043971814109	2.58496250072116	1	3.32192809488736	1	-1	0	1.32192809488736	6.2667865406949	3.58496250072116	0.584962500721156	2.58496250072116	5.16992500144231	0	2.8073549220576	4.24792751344359	2.32192809488736	-1	-1	0	5.93073733756289	0	2.8073549220576	-1	-1	3.58496250072116	0	0	0.584962500721156	-1	1.58496250072116	0.584962500721156	1.32192809488736	5.61470984411521	1	2.32192809488736	-1	1.58496250072116	1.58496250072116	2	-1	2.4594316186373	-1	1	-1	-1	-1	-1	1	1	1	3.32192809488736	-1	0	-1	2.4594316186373	-1	2	3.32192809488736	3.8073549220576
buffer_ctrl_50	-1	3.4594316186373	1	2.32192809488736	-1	-1	1.32192809488736	0	1	0	3.16992500144231	0	-1	2	4.08746284125034	0	0	0.584962500721156	0	-1	1.58496250072116	1	4.08746284125034	2.58496250072116	2	4.24792751344359	2.8073549220576	1.58496250072116	3.4594316186373	-1	2	0	1.32192809488736	6.49185309632967	3.58496250072116	0.584962500721156	2.58496250072116	4.58496250072116	-1	0	4	0	-1	-1	0	6.32192809488736	3.4594316186373	1.58496250072116	0	3	1	0	0	1.58496250072116	-1	3.16992500144231	0.584962500721156	1.32192809488736	5.49185309632967	1.58496250072116	-1	-1	0	0.584962500721156	1	-1	2.4594316186373	-1	-1	-1	-1	-1	-1	3.8073549220576	1	4.85798099512757	2.32192809488736	2	0	-1	2.4594316186373	-1	2	-1	3.8073549220576
buffer_ctrl_51	-1	6.75488750216347	1	2.32192809488736	-1	-1	1.32192809488736	-1	1	-1	0	0	-1	2	3	-1	0	0.584962500721156	1.58496250072116	-1	0	0	-1	2.58496250072116	1	4.32192809488736	1	-1	4.24792751344359	-1	-1	-1	1.32192809488736	6.12928301694497	3.58496250072116	0.584962500721156	2.58496250072116	4.08746284125034	-1	-1	4	3	-1	-1	3.4594316186373	4.70043971814109	0	4.16992500144231	-1	-1	-1	-1	0	3	-1	2.32192809488736	0.584962500721156	1.32192809488736	6	1.58496250072116	0	0	3.16992500144231	0.584962500721156	2.8073549220576	-1	2.4594316186373	-1	-1	-1	-1	-1	-1	0	2	0	2	-1	0	-1	3.4594316186373	-1	2	-1	3.8073549220576
buffer_ctrl_52	-1	5.64385618977472	1	2.32192809488736	-1	-1	1.32192809488736	-1	1	-1	0	0	-1	-1	3.58496250072116	1	0	0.584962500721156	0	-1	-1	3	-1	2.58496250072116	1	4.90689059560852	0	0	5.20945336562895	-1	-1	0	1.32192809488736	5.93073733756289	3.58496250072116	1.58496250072116	2.58496250072116	4	-1	-1	2.32192809488736	-1	-1	-1	4.08746284125034	5.16992500144231	-1	-1	3.70043971814109	-1	-1	2	0	0.584962500721156	-1	3.4594316186373	0.584962500721156	1.32192809488736	6.52356195605701	3.32192809488736	-1	-1	4.8073549220576	0.584962500721156	3.16992500144231	0	2.4594316186373	-1	0	-1	-1	-1	-1	1	1	0	3.8073549220576	-1	0	-1	2.4594316186373	-1	2	-1	3.8073549220576
buffer_ctrl_61	-1	2.16992500144231	1	2.32192809488736	-1	-1	1.32192809488736	-1	1	-1	1.58496250072116	0	-1	-1	-1	3.8073549220576	0	0.584962500721156	-1	-1	-1	-1	-1	2.58496250072116	1	3.24792751344359	-1	1.58496250072116	0	3.58496250072116	-1	-1	1.32192809488736	1.32192809488736	3.58496250072116	0.584962500721156	2.58496250072116	0.584962500721156	-1	3	0	-1	-1	-1	-1	0	-1	-1	-1	-1	4.52356195605701	-1	2.32192809488736	0.584962500721156	-1	-1	0.584962500721156	1.32192809488736	4.49185309632967	0	2	1.58496250072116	7.65821148275179	4.39231742277876	7.25738784269265	3.32192809488736	2.4594316186373	2.58496250072116	2.58496250072116	-1	0	1	-1	-1	1	0	1	0	0	2.32192809488736	2.4594316186373	2	2	-1	3.8073549220576
paraffin_ctrl_63	-1	2.16992500144231	2.58496250072116	2.32192809488736	-1	-1	1.32192809488736	-1	1	-1	0	0	-1	-1	3.16992500144231	2.8073549220576	0	1.58496250072116	0	0	-1	-1	6.14974711950468	2.58496250072116	1	3.24792751344359	3.4594316186373	2	1.58496250072116	0	-1	-1	1.32192809488736	1.32192809488736	3.58496250072116	2.32192809488736	2.58496250072116	0.584962500721156	-1	1.58496250072116	0	-1	-1	0	0	4.32192809488736	-1	-1	1	-1	-1	1	0	0.584962500721156	-1	-1	0.584962500721156	2.32192809488736	4.49185309632967	0	1	-1	7	4.32192809488736	6.91886323727459	3.32192809488736	2.4594316186373	0	3.32192809488736	0	0	0	-1	-1	1	0	1	-1	0	1	2.4594316186373	3.16992500144231	2	-1	3.8073549220576
paraffin_ctrl_64	5.52356195605701	2.16992500144231	1	2.32192809488736	-1	-1	1.32192809488736	-1	1	-1	0	0	-1	-1	-1	3.4594316186373	0	0.584962500721156	-1	3.32192809488736	-1	-1	4	3.58496250072116	1	3.24792751344359	-1	4.58496250072116	-1	1	1	-1	1.32192809488736	1.32192809488736	3.58496250072116	4.39231742277876	2.58496250072116	0.584962500721156	-1	0	0	-1	-1	-1	-1	5.49185309632967	-1	-1	-1	-1	-1	-1	0	0.584962500721156	-1	-1	0.584962500721156	1.32192809488736	4.49185309632967	0	0	0	6.82017896241519	4.24792751344359	6.39231742277876	2.32192809488736	3.4594316186373	2	2	0	0	0	-1	-1	3	0	1	5.20945336562895	0	-1	2.4594316186373	-1	2	-1	3.8073549220576
paraffin_ctrl_65	-1	2.16992500144231	1	4.08746284125034	-1	-1	1.32192809488736	-1	1	-1	0	0	-1	-1	-1	-1	0	0.584962500721156	3.8073549220576	-1	-1	-1	2.32192809488736	2.58496250072116	1	3.24792751344359	-1	-1	-1	-1	-1	-1	1.32192809488736	1.32192809488736	3.58496250072116	0.584962500721156	2.58496250072116	0.584962500721156	-1	-1	0	-1	-1	-1	-1	7.88264304936184	-1	-1	-1	-1	-1	-1	0	0.584962500721156	-1	-1	0.584962500721156	1.32192809488736	4.49185309632967	0	0	0	6.4093909361377	4.24792751344359	6.33985000288462	1.58496250072116	2.4594316186373	2	1	0	-1	1.58496250072116	-1	-1	1	0	1	-1	0	0	2.4594316186373	2.8073549220576	2	2.58496250072116	3.8073549220576
paraffin_ctrl_66	4.4594316186373	2.16992500144231	1	3.90689059560852	3	-1	1.32192809488736	-1	1	-1	0	0	-1	-1	-1	3.16992500144231	0	0.584962500721156	-1	2.58496250072116	-1	-1	-1	2.58496250072116	1	3.24792751344359	-1	0	-1	-1	-1	-1	1.32192809488736	1.32192809488736	3.58496250072116	2	2.58496250072116	0.584962500721156	0	-1	0	-1	-1	-1	-1	5.55458885167764	-1	-1	-1	-1	3	1.58496250072116	0	0.584962500721156	-1	-1	0.584962500721156	1.32192809488736	4.49185309632967	0	0	0	7.35755200461808	3.70043971814109	5.28540221886225	3.32192809488736	2.4594316186373	2.58496250072116	4	2.32192809488736	-1	0	-1	-1	1	0	1	-1	4.8073549220576	0	2.4594316186373	0	5.70043971814109	0	3.8073549220576
paraffin_ctrl_67	-1	2.16992500144231	1	4.32192809488736	-1	-1	1.32192809488736	-1	1	-1	1.58496250072116	0	-1	-1	-1	1	0	0.584962500721156	-1	-1	-1	-1	4.16992500144231	2.58496250072116	1	3.24792751344359	-1	-1	-1	-1	0	-1	1.32192809488736	1.32192809488736	3.58496250072116	3.70043971814109	2.58496250072116	0.584962500721156	-1	-1	0	-1	-1	-1	-1	4.52356195605701	-1	-1	-1	0	-1	-1	0	0.584962500721156	-1	-1	0.584962500721156	1.32192809488736	4.49185309632967	0	2	2	7.60733031374961	5	6.95419631038687	2.8073549220576	2.4594316186373	2.32192809488736	3.58496250072116	2.32192809488736	2.32192809488736	-1	-1	-1	1	0	1	1	1.58496250072116	-1	2.4594316186373	2	2	-1	3.8073549220576
