feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X158754	sample_type	paraffin_ctrl	-0.490404222244772	0.0731498097148893	76	6	3.48326727497184e-09	7.3845266229403e-07
X2725666	sample_type	paraffin_ctrl	-2.60302353697579	0.415003550728269	76	9	2.16081896204807e-08	7.79238184631077e-07
X293405	sample_type	paraffin_ctrl	-0.940708928674451	0.149837984535379	76	6	2.10818462597457e-08	7.79238184631077e-07
X169976	sample_type	paraffin_ctrl	-1.11869843555514	0.178494213955638	76	6	2.20539108857852e-08	7.79238184631077e-07
X316087	sample_type	paraffin_ctrl	-0.911063393011676	0.143590174581407	76	6	1.59313991819561e-08	7.79238184631077e-07
X658225	sample_type	paraffin_ctrl	-0.781923684455094	0.123826748782622	76	6	1.80890973587558e-08	7.79238184631077e-07
X292277	sample_type	paraffin_ctrl	-1.57777058847978	0.255819744230408	76	6	3.34937536493758e-08	8.87584471708458e-07
X328225	sample_type	paraffin_ctrl	-1.29332592431749	0.20963894023939	76	6	3.32440711603463e-08	8.87584471708458e-07
X663950	sample_type	paraffin_ctrl	-0.641577006571624	0.107326083286845	76	6	7.36600629536835e-08	1.73510370513121e-06
X267632	sample_type	paraffin_ctrl	-0.869280357245879	0.149758659102866	76	6	1.50345982488975e-07	2.89757711706025e-06
X199684	sample_type	paraffin_ctrl	-0.97456115641248	0.167717707362589	76	6	1.46584493884785e-07	2.89757711706025e-06
X327691	sample_type	paraffin_ctrl	-1.38995940133124	0.247661311455377	76	6	3.29062391308369e-07	5.81343557978118e-06
X74696	sample_type	paraffin_ctrl	-0.843382494432685	0.163300371135511	76	5	1.96514411827167e-06	3.20469656210457e-05
X1560345	sample_type	paraffin_ctrl	2.21699513989972	0.504572385502165	76	70	3.65811606450515e-05	0.000553943289767923
X2182384	sample_type	paraffin_ctrl	-0.663501248578378	0.173351099317231	76	11	0.00026856248742956	0.00379568315567111
X1404	sample_type	paraffin_ctrl	-0.593091042781262	0.170368016204289	76	5	0.000840957227949597	0.0111426832703322
X1496	sample_type	paraffin_ctrl	-0.671432056606146	0.198715301449439	76	8	0.00116398979959128	0.0145156375007853
X83427	sample_type	paraffin_ctrl	-0.577675917232167	0.176103281143364	76	3	0.00158273961626086	0.0186411554804057
X2711215	sample_type	paraffin_ctrl	1.76777637899607	0.54844652076537	76	35	0.00188627411565699	0.0210468480273306
X34062	sample_type	paraffin_ctrl	2.91163174655391	0.949322387679442	76	52	0.00301854256294587	0.0319965511672262
X76857	sample_type	paraffin_ctrl	-1.7091069394767	0.560258878025876	76	16	0.00316951360143079	0.0319969944525394
X653931	sample_type	paraffin_ctrl	1.56626061059364	0.528299849074734	76	74	0.00407491998434791	0.0392674107582617
X114527	sample_type	paraffin_ctrl	-1.87425893933289	0.642734272924532	76	20	0.00468895831853963	0.0432199636317566
X1194971	sample_type	paraffin_ctrl	-0.421676897523719	0.146696717350382	76	3	0.00528054062592939	0.0466447755290429
X33033	sample_type	paraffin_ctrl	-1.1679196098113	0.461422804213025	76	19	0.013493565348846	0.110845860770323
X93064	sample_type	paraffin_ctrl	1.31252745653644	0.519137362516166	76	54	0.0135943036793792	0.110845860770323
X1827469	sample_type	paraffin_ctrl	1.58812156673847	0.646875829133902	76	30	0.0164354746709917	0.12904891223149
X89152	sample_type	paraffin_ctrl	-0.783329675302855	0.326858218765281	76	10	0.0190772703800534	0.139461424847287
X1613	sample_type	paraffin_ctrl	-0.449839678888865	0.186681798211387	76	3	0.0184541969728985	0.139461424847287
X946333	sample_type	paraffin_ctrl	-0.337022292729751	0.147608816021653	76	4	0.0252902575306573	0.172952728919334
X1549858	sample_type	paraffin_ctrl	0.847091630872207	0.370440831756795	76	41	0.0250743873561028	0.172952728919334
X335406	sample_type	paraffin_ctrl	0.928484397210493	0.416091519003089	76	51	0.0286804414480935	0.190007924593619
X1123269	sample_type	paraffin_ctrl	0.835105831371319	0.383963361705406	76	20	0.0328285972679072	0.210898867296858
X1310	sample_type	paraffin_ctrl	-0.0714285714285717	0.0331465805047312	76	1	0.0344209902437769	0.214624997990609
X424800	sample_type	paraffin_ctrl	0.624379448971575	0.291608331409071	76	28	0.0355544928521996	0.215358642419037
