feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X93064	sample_type	paraffin_ctrl	1.98950201432264	0.197141868410575	202	88	1.28107903312799e-19	6.27728726232717e-17
X2711215	sample_type	paraffin_ctrl	1.62305719439918	0.18035175286572	202	51	1.77786303345506e-16	4.35576443196491e-14
X1560345	sample_type	paraffin_ctrl	2.27599902713024	0.275168015892234	202	132	1.83669278926586e-14	2.99993155580091e-12
X2725666	sample_type	paraffin_ctrl	-2.19634406127201	0.2679864045086	202	72	2.9426492907688e-14	3.60474538119179e-12
X1523415	sample_type	paraffin_ctrl	2.99777580110769	0.374338657507899	202	169	9.39356634258584e-14	9.20569501573413e-12
X1827469	sample_type	paraffin_ctrl	1.76807523550577	0.227557996267514	202	44	4.0309690994085e-13	3.29195809785028e-11
X152682	sample_type	paraffin_ctrl	1.58019575086171	0.214717310815818	202	112	4.68890713022141e-12	3.28223499115499e-10
X488447	sample_type	paraffin_ctrl	-2.51205795486784	0.357144491621499	202	50	3.12242783371504e-11	1.91248704815046e-09
X34062	sample_type	paraffin_ctrl	2.47096865458427	0.352804569775392	202	82	3.70800976567872e-11	2.01880531686952e-09
X482957	sample_type	paraffin_ctrl	-2.13363836133663	0.311120943909682	202	45	8.51591323265089e-11	4.17279748399894e-09
X40324	sample_type	paraffin_ctrl	1.65738811496015	0.246337315938541	202	35	1.76907597263394e-10	7.88042933264209e-09
X95486	sample_type	paraffin_ctrl	-1.73845412679663	0.264934174257261	202	42	4.45969069403005e-10	1.82104036672894e-08
X337	sample_type	paraffin_ctrl	-1.57305977498961	0.250799282767769	202	41	2.15805788234034e-09	8.13421817189819e-08
X13689	sample_type	paraffin_ctrl	1.34672520389161	0.216558441564728	202	56	2.8725169011543e-09	1.00538091540401e-07
X292	sample_type	paraffin_ctrl	-1.4571088386552	0.23527709097671	202	38	3.29260420620223e-09	1.07558404069273e-07
X424800	sample_type	paraffin_ctrl	0.66925291211013	0.108589073269933	202	48	3.86176302023142e-09	1.18266492494587e-07
X28450	sample_type	paraffin_ctrl	-1.08595074058991	0.181602824641069	202	38	1.01265283331815e-08	2.82746101024364e-07
X2217913	sample_type	paraffin_ctrl	-1.31134024848445	0.219473361263699	202	38	1.03865914662011e-08	2.82746101024364e-07
X1123269	sample_type	paraffin_ctrl	0.711927236469022	0.120428160870231	202	28	1.44228041730589e-08	3.71956528673624e-07
X57975	sample_type	paraffin_ctrl	-1.12755561309859	0.194007014307371	202	37	2.40757167370498e-08	5.89855060057721e-07
X729	sample_type	paraffin_ctrl	-1.729368060775	0.301035672731849	202	70	3.38973283424962e-08	7.90937661324912e-07
X29466	sample_type	paraffin_ctrl	-1.8974650829475	0.332410617171214	202	82	4.07806421182906e-08	8.68804984259234e-07
X190721	sample_type	paraffin_ctrl	-1.2218175244261	0.213786003394142	202	40	3.93743809101476e-08	8.68804984259234e-07
X712633	sample_type	paraffin_ctrl	-1.83201933746845	0.328965263259924	202	132	8.18749112481682e-08	1.67161277131677e-06
X653931	sample_type	paraffin_ctrl	2.053520428123	0.374117385229783	202	149	1.21621089639193e-07	2.38377335692818e-06
