feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2711215	sample_type	paraffin_ctrl	3.88363419576715	0.338446613828445	209	69	6.5467158366549e-24	7.36505531623676e-21
X2725666	sample_type	paraffin_ctrl	-4.38491432706554	0.40271171910018	209	89	4.02726336040218e-22	2.26533564022623e-19
X93064	sample_type	paraffin_ctrl	4.01572918967338	0.378239224703551	209	145	2.6639648733663e-21	9.98986827512362e-19
X1123269	sample_type	paraffin_ctrl	2.77812350373175	0.274505200170763	209	68	8.1280748610112e-20	2.2860210546594e-17
X1827469	sample_type	paraffin_ctrl	3.09643701735176	0.378730125495441	209	63	2.9155596952109e-14	6.56000931422453e-12
X2082188	sample_type	paraffin_ctrl	2.35196601255614	0.290078490793345	209	71	4.45622425989859e-14	8.35542048730986e-12
X13689	sample_type	paraffin_ctrl	3.23302019369164	0.401284871770789	209	103	6.13800279179148e-14	9.86464734395059e-12
X488447	sample_type	paraffin_ctrl	-4.13556653370551	0.54730272223461	209	51	1.31567324836611e-12	1.85016550551484e-10
X40324	sample_type	paraffin_ctrl	2.93367449574929	0.393681863936283	209	47	2.46102706658391e-12	3.07628383322989e-10
X337	sample_type	paraffin_ctrl	-3.09328722535359	0.427141037655088	209	55	8.55312130454067e-12	9.62226146760825e-10
X95486	sample_type	paraffin_ctrl	-3.24305928758934	0.451603240864835	209	50	1.22086523660147e-11	1.24861217379696e-09
X482957	sample_type	paraffin_ctrl	-2.87640097903858	0.403132568456084	209	49	1.5983086221276e-11	1.49841433324463e-09
X292	sample_type	paraffin_ctrl	-2.96232202717709	0.419692947475478	209	48	2.4985887974594e-11	2.16224030549371e-09
X1609977	sample_type	paraffin_ctrl	1.44897223475739	0.206051348783802	209	51	2.9082772283185e-11	2.33700848704165e-09
X34062	sample_type	paraffin_ctrl	4.02598262843712	0.57450262030853	209	102	3.34725746475147e-11	2.5104430985636e-09
X1850238	sample_type	paraffin_ctrl	1.22335045676732	0.175679894480256	209	31	4.31967865031922e-11	3.0372740510057e-09
X305	sample_type	paraffin_ctrl	-2.18012697779134	0.315761381970814	209	66	6.06621477140547e-11	4.01440683401833e-09
X74329	sample_type	paraffin_ctrl	1.24829837442389	0.186743055148748	209	33	2.10905261091983e-10	1.31815788182489e-08
X2217913	sample_type	paraffin_ctrl	-2.68963048328638	0.404186022217881	209	52	2.49737316848862e-10	1.47870779713142e-08
X190721	sample_type	paraffin_ctrl	-2.53823654963722	0.382007511148255	209	54	2.64068449793921e-10	1.48538503009081e-08
X1673076	sample_type	paraffin_ctrl	1.08009789792682	0.16309034707985	209	32	2.98235150775748e-10	1.59768830772722e-08
X1523415	sample_type	paraffin_ctrl	3.41250107297674	0.518105864203516	209	191	3.6491828275389e-10	1.86605940044603e-08
X28450	sample_type	paraffin_ctrl	-2.43428746657665	0.371232304839069	209	55	4.2915390850461e-10	2.09912237855516e-08
X87883	sample_type	paraffin_ctrl	-1.96837585755056	0.302022200258198	209	45	5.35576054147529e-10	2.51051275381654e-08
X424800	sample_type	paraffin_ctrl	2.03296502586457	0.313212496787822	209	99	6.20419237416222e-10	2.791886568373e-08
X428406	sample_type	paraffin_ctrl	-1.75337029219165	0.271617698256375	209	52	7.53924283464338e-10	3.22022390092493e-08
X1549858	sample_type	paraffin_ctrl	2.40310895321001	0.372530311297003	209	126	7.72853736221983e-10	3.22022390092493e-08
X57975	sample_type	paraffin_ctrl	-2.39582427902809	0.372086737722927	209	49	8.24978778453386e-10	3.3146468777145e-08
X729	sample_type	paraffin_ctrl	-3.29478547845778	0.517390923942935	209	82	1.21507676102763e-09	4.71365984881408e-08
X649756	sample_type	paraffin_ctrl	-1.95803844945011	0.316007891675315	209	48	3.07579387338467e-09	1.15342270251925e-07
X13373	sample_type	paraffin_ctrl	-1.51404339199417	0.24535148328394	209	42	3.52059615764447e-09	1.27763570237098e-07
X536231	sample_type	paraffin_ctrl	-1.85506075998571	0.306289559157512	209	48	6.46110640414106e-09	2.27148272020584e-07
X1560345	sample_type	paraffin_ctrl	3.04331437265498	0.505411944323329	209	164	7.77341866580435e-09	2.65002909061512e-07
X29466	sample_type	paraffin_ctrl	-3.4066274033565	0.568090927284169	209	100	8.85577061552902e-09	2.93021821837357e-07
X610130	sample_type	paraffin_ctrl	-1.54964130205764	0.260360542669682	209	45	1.11892531668982e-08	3.59654566078869e-07
X95485	sample_type	paraffin_ctrl	-1.45814913437518	0.246445873860623	209	40	1.34397023535379e-08	4.19990698548059e-07
X339670	sample_type	paraffin_ctrl	-1.50528549434275	0.256332096429514	209	38	1.69100612564092e-08	5.1415726793136e-07
X411470	sample_type	paraffin_ctrl	-1.73040323392957	0.302363571403871	209	45	3.6390784811718e-08	1.07735876087323e-06
X33035	sample_type	paraffin_ctrl	-1.83846995005679	0.324267506485781	209	48	4.76765957892745e-08	1.3752864169983e-06
X2479767	sample_type	paraffin_ctrl	-2.35206467857697	0.420556721312732	209	49	7.01678013048727e-08	1.97346941169954e-06
X60552	sample_type	paraffin_ctrl	-1.18630662225624	0.214063525180524	209	35	9.04490850633992e-08	2.48183465112985e-06
X1503054	sample_type	paraffin_ctrl	-1.08903472512069	0.19684361747545	209	35	9.47546572059284e-08	2.5380711751588e-06
X301301	sample_type	paraffin_ctrl	-1.4662041493451	0.265649383266929	209	41	1.01153073711862e-07	2.64644669594987e-06
X208479	sample_type	paraffin_ctrl	-1.29429556695519	0.23516608622467	209	38	1.09264375189891e-07	2.79369141110517e-06
X1016987	sample_type	paraffin_ctrl	2.1131404182645	0.385238013362072	209	167	1.19708283393081e-07	2.92764823515688e-06
X41276	sample_type	paraffin_ctrl	1.49903881322979	0.27313657413091	209	34	1.17974652150275e-07	2.92764823515688e-06
X1532023	sample_type	paraffin_ctrl	0.68533339689815	0.126157068158965	209	27	1.55309425382145e-07	3.71751284159389e-06
X29581	sample_type	paraffin_ctrl	-0.970630386607137	0.179423012916763	209	50	1.73531257774997e-07	4.05082095137162e-06
X1503055	sample_type	paraffin_ctrl	-1.22604643129224	0.226779498792718	209	35	1.76435756993075e-07	4.05082095137162e-06
X1310165	sample_type	paraffin_ctrl	-1.02600390632323	0.190416791906913	209	36	1.92773547342234e-07	4.33740481520027e-06
X488729	sample_type	paraffin_ctrl	-1.3599437048011	0.253586074086394	209	36	2.18102117925547e-07	4.81107613071059e-06
X712633	sample_type	paraffin_ctrl	-2.93630122202695	0.549357362826058	209	146	2.37876607567359e-07	5.1463689137169e-06
X386874	sample_type	paraffin_ctrl	0.879754836314929	0.165461596348434	209	38	2.72410909775089e-07	5.78230704711273e-06
X1834196	sample_type	paraffin_ctrl	-1.24951798470908	0.236043299723237	209	45	3.04934828182138e-07	6.3528089204612e-06
X1898203	sample_type	paraffin_ctrl	-1.81421232458749	0.345926180643833	209	40	3.85988633619164e-07	7.75423594324213e-06
X113107	sample_type	paraffin_ctrl	-2.08539959245283	0.397376439878559	209	117	3.7973460332768e-07	7.75423594324213e-06
X2564099	sample_type	paraffin_ctrl	-1.75721112881088	0.336530126815858	209	33	4.3072843509995e-07	8.5012191138148e-06
X1302	sample_type	paraffin_ctrl	-2.16021239815031	0.420367041106439	209	80	6.37637163100248e-07	1.2158335737081e-05
X2571748	sample_type	paraffin_ctrl	-0.85352588703323	0.166019937801925	209	33	6.30954960051626e-07	1.2158335737081e-05
X2093857	sample_type	paraffin_ctrl	-1.55960867866887	0.303767547977843	209	33	6.51788344181646e-07	1.22210314534059e-05
X2109690	sample_type	paraffin_ctrl	-1.49938953259879	0.294801807210656	209	31	8.17170044940652e-07	1.50707590255448e-05
X742737	sample_type	paraffin_ctrl	-1.10378410387686	0.217705866587468	209	36	8.80772378688169e-07	1.59817568713579e-05
X39488	sample_type	paraffin_ctrl	-1.72431949095085	0.34157427185	209	37	9.75595268456159e-07	1.74213440795743e-05
X28095	sample_type	paraffin_ctrl	-0.886386500612915	0.17598564335052	209	33	1.02902638516478e-06	1.80883544267247e-05
X342113	sample_type	paraffin_ctrl	-0.805738145462591	0.161626468589573	209	32	1.30641798117969e-06	2.26110804434947e-05
X1874061	sample_type	paraffin_ctrl	1.2565361152136	0.253369867563212	209	57	1.47195222533002e-06	2.50900947499435e-05
X2093742	sample_type	paraffin_ctrl	-1.01077605517153	0.20462216673279	209	31	1.61042342803516e-06	2.70406918886501e-05
X84135	sample_type	paraffin_ctrl	-1.7517072936777	0.35531547296743	209	66	1.68373206608417e-06	2.74521532513723e-05
X152682	sample_type	paraffin_ctrl	2.12075013683629	0.430124711194148	209	168	1.67956235959348e-06	2.74521532513723e-05
X2086584	sample_type	paraffin_ctrl	-1.10880921528892	0.225484192268652	209	31	1.78321785219044e-06	2.86588583387749e-05
X1379	sample_type	paraffin_ctrl	-2.59899679952475	0.5305414370837	209	91	1.94208690592402e-06	3.07725037910496e-05
X1303	sample_type	paraffin_ctrl	-2.64457296795984	0.543274034213725	209	137	2.23533521142686e-06	3.49271126785447e-05
X28037	sample_type	paraffin_ctrl	-2.9596993237609	0.611033702914846	209	142	2.49300741068452e-06	3.84196347536998e-05
X693746	sample_type	paraffin_ctrl	-1.0779281413078	0.223690389291742	209	32	2.78973308524193e-06	4.24114827148267e-05
X1679721	sample_type	paraffin_ctrl	-0.763210851268588	0.158646437001162	209	41	2.8929984955868e-06	4.33949774338021e-05
X2081703	sample_type	paraffin_ctrl	-1.79962664943687	0.376819355037452	209	31	3.38393478212109e-06	5.0091139866924e-05
X2610895	sample_type	paraffin_ctrl	-1.07643739973003	0.226331622182355	209	30	3.69722949461842e-06	5.4017963395399e-05
X39950	sample_type	paraffin_ctrl	-1.68168740980036	0.354382030753868	209	47	3.87631685312551e-06	5.52007146805848e-05
X29347	sample_type	paraffin_ctrl	-1.12606255411051	0.237265417961595	209	29	3.86604816411923e-06	5.52007146805848e-05
X2303750	sample_type	paraffin_ctrl	1.11754906894741	0.236707561655704	209	39	4.3163863836383e-06	6.06991835199136e-05
X1945662	sample_type	paraffin_ctrl	1.42023458846858	0.303578322398928	209	40	5.21848359419129e-06	7.24789388082123e-05
X147645	sample_type	paraffin_ctrl	1.46874806068336	0.314775009662325	209	52	5.50868375722762e-06	7.55764539863546e-05
X588932	sample_type	paraffin_ctrl	0.680378283459116	0.146322157257408	209	24	5.91407319789092e-06	8.01606306943047e-05
X292800	sample_type	paraffin_ctrl	-1.07698051116638	0.234993776426504	209	29	7.91805081632901e-06	0.000106045323432978
X853	sample_type	paraffin_ctrl	-1.68410171832295	0.369517010311734	209	32	8.84086855853662e-06	0.000117006988028599
X1367847	sample_type	paraffin_ctrl	1.28627427377176	0.282394820413034	209	33	8.94453419596404e-06	0.000117006988028599
X488731	sample_type	paraffin_ctrl	-0.556152944086542	0.122184016775511	209	29	9.06570744663353e-06	0.00011722897560302
X185007	sample_type	paraffin_ctrl	-0.906350452682686	0.19981074870174	209	29	9.7019443643234e-06	0.000124030538748453
X1871021	sample_type	paraffin_ctrl	-0.820714129380407	0.181838527649392	209	27	1.06933792283708e-05	0.000135169119459743
X28132	sample_type	paraffin_ctrl	-1.5410111080809	0.341851665240168	209	46	1.0952848867768e-05	0.0001369106108471
X29391	sample_type	paraffin_ctrl	-1.76746786621449	0.394048597895425	209	73	1.20567814791474e-05	0.000149053617187262
X101571	sample_type	paraffin_ctrl	-0.552798216925893	0.123722544944948	209	28	1.29837432609769e-05	0.000158768599658685
X28135	sample_type	paraffin_ctrl	-1.1351616207646	0.254862680295923	209	45	1.37829357496034e-05	0.000166729061487138
X511691	sample_type	paraffin_ctrl	-1.31080499177877	0.295114283939995	209	33	1.45236619477748e-05	0.000171325512307384
X248315	sample_type	paraffin_ctrl	-1.43462149667831	0.323103415687282	209	60	1.46197770502301e-05	0.000171325512307384
X2065379	sample_type	paraffin_ctrl	1.07327898173741	0.241500852806836	209	26	1.43693312780302e-05	0.000171325512307384
X54006	sample_type	paraffin_ctrl	-1.54474471819751	0.349552871084476	209	26	1.59743513859516e-05	0.000185269539270057
X2696063	sample_type	paraffin_ctrl	-0.752144966058934	0.170862394649183	209	30	1.71734601647539e-05	0.000196516600548303
X152500	sample_type	paraffin_ctrl	-0.517756830359151	0.117661354795823	209	28	1.72934608482507e-05	0.000196516600548303
X643561	sample_type	paraffin_ctrl	0.591014602726108	0.134723285817445	209	15	1.83059053301725e-05	0.00020594143496444
X2109691	sample_type	paraffin_ctrl	-1.18118261331579	0.269737526152541	209	31	1.89212066307122e-05	0.000210756014451002
X1297617	sample_type	paraffin_ctrl	-0.851207156389215	0.194859030922413	209	26	1.97883236721242e-05	0.000218253569913134
X1042156	sample_type	paraffin_ctrl	-0.659387014063277	0.15214032241444	209	29	2.28324760157805e-05	0.000249383839978185
X553973	sample_type	paraffin_ctrl	-0.943104293249486	0.217826460953352	209	27	2.3260280665631e-05	0.000251613612969566
X185008	sample_type	paraffin_ctrl	-0.60872810231714	0.140886504380367	209	35	2.41388548039999e-05	0.000258630587185713
X2724150	sample_type	paraffin_ctrl	-0.972528837502719	0.225751760609826	209	46	2.54499905559097e-05	0.000270106031843382
X2582419	sample_type	paraffin_ctrl	-1.1684770492	0.271850990235686	209	41	2.64969571690855e-05	0.000278589502945992
X78535	sample_type	paraffin_ctrl	-1.03794267481816	0.241821758593809	209	68	2.71680734099681e-05	0.000283000764687168
X39778	sample_type	paraffin_ctrl	-1.77057228750861	0.41291158990914	209	84	2.76396133556248e-05	0.000284279295304205
X1177574	sample_type	paraffin_ctrl	-1.28516730162879	0.299958700636699	209	45	2.80464276375088e-05	0.000284279295304205
X1219035	sample_type	paraffin_ctrl	0.621850608736075	0.145140968085231	209	29	2.80488904700149e-05	0.000284279295304205
X1313	sample_type	paraffin_ctrl	-2.22113216972695	0.518891570203448	209	140	2.85073278373553e-05	0.000286345926937721
X515620	sample_type	paraffin_ctrl	-1.18162470227737	0.276252307988986	209	30	2.88854157540019e-05	0.000287576041798691
X46125	sample_type	paraffin_ctrl	-1.77194408179237	0.415527575735086	209	66	3.04764864970561e-05	0.00030075480095779
X28131	sample_type	paraffin_ctrl	-0.984676021698408	0.2310747704556	209	34	3.08595487964233e-05	0.000301886890399793
X2705548	sample_type	paraffin_ctrl	-0.490247880163134	0.115670727440394	209	26	3.39122149916641e-05	0.000328890016082949
X1892855	sample_type	paraffin_ctrl	0.830883534153118	0.19687415293983	209	46	3.64918145350382e-05	0.000350882832067675
X265293	sample_type	paraffin_ctrl	-0.49198276148639	0.116837624359738	209	26	3.79422586755736e-05	0.000361737635678139
X1550024	sample_type	paraffin_ctrl	-1.29513203997496	0.314221508263826	209	31	5.44008455021442e-05	0.000514293707478254
X1088721	sample_type	paraffin_ctrl	0.650680153772411	0.158958335483177	209	31	6.09258277137866e-05	0.000571179634816749
X2507162	sample_type	paraffin_ctrl	-0.82674393049054	0.202253392663322	209	27	6.23356886904219e-05	0.00057956735352665
X2161821	sample_type	paraffin_ctrl	-1.36885278542689	0.335673018443868	209	45	6.47981456357781e-05	0.000597523883936478
X360107	sample_type	paraffin_ctrl	-1.38937827209616	0.341362483594824	209	25	6.68492999376464e-05	0.000611426523819936
X433286	sample_type	paraffin_ctrl	-0.587857419370882	0.145498583352023	209	32	7.52264256519806e-05	0.000682497813374824
X39777	sample_type	paraffin_ctrl	-1.57522195888755	0.391126844097409	209	78	7.91555580991959e-05	0.000712400022892763
X1433513	sample_type	paraffin_ctrl	-1.86490652376141	0.463566730683738	209	119	8.05530935613536e-05	0.000719224049654942
X2144175	sample_type	paraffin_ctrl	-1.12203915513281	0.279400351332201	209	41	8.28252391214892e-05	0.000733688141824216
X1160721	sample_type	paraffin_ctrl	-0.955031456380437	0.238094470982912	209	26	8.43822968696288e-05	0.000741641281080722
X398578	sample_type	paraffin_ctrl	1.07921271261099	0.270122089143951	209	15	8.98021723251648e-05	0.000783158479579925
X1852373	sample_type	paraffin_ctrl	-1.21095758124557	0.303463694047754	209	24	9.15147329306764e-05	0.000785908966007717
X1938606	sample_type	paraffin_ctrl	-1.21217046834558	0.303632415216402	209	73	9.08803120006061e-05	0.000785908966007717
X1328	sample_type	paraffin_ctrl	-1.44556333582099	0.36276997415314	209	57	9.35633160083149e-05	0.000797414625070866
X33025	sample_type	paraffin_ctrl	-0.800390387191279	0.20319285088464	209	26	0.000111789921232107	0.000945591438993389
X1458465	sample_type	paraffin_ctrl	-1.18181958046968	0.301278789908361	209	46	0.000119108790417991	0.000999980516568951
X82367	sample_type	paraffin_ctrl	0.574827616487913	0.147332840988082	209	18	0.000129212228284617	0.00107676856903848
X223967	sample_type	paraffin_ctrl	1.1894930954072	0.306019184142143	209	41	0.00013665058904458	0.00113038171084671
X29429	sample_type	paraffin_ctrl	0.813090428387084	0.210512984373892	209	22	0.000150120033984632	0.00123273750534825
X114527	sample_type	paraffin_ctrl	-1.79738088565545	0.466350704421623	209	69	0.0001549396913244	0.00126101413972584
X1292	sample_type	paraffin_ctrl	1.17961027717376	0.306179301953071	209	76	0.000155805302597237	0.00126101413972584
X1229621	sample_type	paraffin_ctrl	-0.335161096799231	0.087049449801721	209	22	0.000157260324360296	0.00126369903503809
X488446	sample_type	paraffin_ctrl	-0.362635556252955	0.0945728774486513	209	21	0.000166986639540302	0.00133234020909815
X889201	sample_type	paraffin_ctrl	-1.39803120351878	0.364830564425032	209	98	0.000168549882778957	0.00133534238117131
X89152	sample_type	paraffin_ctrl	-1.28022076745896	0.334826037515462	209	51	0.000174044848308523	0.00136923394648313
X105841	sample_type	paraffin_ctrl	-0.477346624497597	0.124923006209852	209	27	0.00017564304072063	0.00137221125562992
X488732	sample_type	paraffin_ctrl	-0.51226710468949	0.134614164205719	209	24	0.000186369416932735	0.00144596961413329
X41899	sample_type	paraffin_ctrl	-0.381461727087692	0.100370766622891	209	21	0.000189861904772588	0.00146297700595316
X1352	sample_type	paraffin_ctrl	-0.852909113954162	0.224945692707112	209	73	0.00019633895786321	0.00150259406527967
X575614	sample_type	paraffin_ctrl	-0.528178350758115	0.139602376295792	209	31	0.000202468871505032	0.00153903703002136
X1912856	sample_type	paraffin_ctrl	-0.825201979168379	0.218613812026327	209	21	0.000209228068119577	0.00157974212506392
X1834198	sample_type	paraffin_ctrl	-0.559886692006659	0.148581731578102	209	19	0.000214385128216285	0.00160788846162214
X357809	sample_type	paraffin_ctrl	-0.513950169801058	0.136510432677482	209	25	0.000217044500843917	0.0016170534003272
X2500532	sample_type	paraffin_ctrl	1.40580706094158	0.37522647311919	209	65	0.000232457370438649	0.00172049040620711
X34004	sample_type	paraffin_ctrl	0.712469451828069	0.190914448042005	209	25	0.000245518467548617	0.00180528284962219
X674703	sample_type	paraffin_ctrl	0.657177419781552	0.176838293790571	209	18	0.000260174061837493	0.00190062220498169
X2182384	sample_type	paraffin_ctrl	0.588138895331487	0.158516667180928	209	38	0.000266018310096491	0.00193077805715195
X435590	sample_type	paraffin_ctrl	-0.713661194260422	0.193563972953505	209	21	0.000289937490182857	0.00208058812210622
X60550	sample_type	paraffin_ctrl	-0.371910822207501	0.100882900539588	209	20	0.000290357631262823	0.00208058812210622
X28129	sample_type	paraffin_ctrl	-0.517632620661965	0.141385652736235	209	27	0.000318784035268773	0.00226982303593272
X1505	sample_type	paraffin_ctrl	-0.779862194380485	0.213208445396572	209	44	0.000322772641568559	0.00228376869034358
X1077935	sample_type	paraffin_ctrl	0.934676152072829	0.256936301340097	209	29	0.000347209939460299	0.00244131988683023
X36874	sample_type	paraffin_ctrl	-0.459065280381596	0.126969740974947	209	25	0.000376450221249251	0.00263047514848079
X573	sample_type	paraffin_ctrl	-0.968376456139063	0.270572567966304	209	67	0.000429645654747193	0.00295531305310008
X2714946	sample_type	paraffin_ctrl	-1.28997783356642	0.360338208495989	209	67	0.00042822627599075	0.00295531305310008
X732	sample_type	paraffin_ctrl	-0.9085763689686	0.253917648715873	209	35	0.00043081896951859	0.00295531305310008
X2663009	sample_type	paraffin_ctrl	-0.870167175637423	0.243944204062365	209	29	0.00044845838844926	0.00305767083033586
X55508	sample_type	paraffin_ctrl	-0.678729146996019	0.190422236361009	209	47	0.000452887767295036	0.00306926950727057
X871742	sample_type	paraffin_ctrl	0.985525618782319	0.276923771315689	209	33	0.000461920119730094	0.00309321508747831
X596154	sample_type	paraffin_ctrl	0.546963246274558	0.153648928220265	209	16	0.000460281312095169	0.00309321508747831
X2109688	sample_type	paraffin_ctrl	-0.613120970820621	0.172732197995408	209	18	0.000477545403283741	0.00317892650114916
X653931	sample_type	paraffin_ctrl	2.14717395682396	0.606792429424954	209	171	0.000496663562607383	0.00328674416431356
X697329	sample_type	paraffin_ctrl	-0.612135658744833	0.173434947232014	209	21	0.000513013152727297	0.00337508653110064
X617123	sample_type	paraffin_ctrl	-1.04399036877229	0.296510855577304	209	45	0.000528894723030318	0.00345934048493667
X335406	sample_type	paraffin_ctrl	1.56921336910504	0.446499020344477	209	137	0.000541128337496549	0.00351889814846022
X1305	sample_type	paraffin_ctrl	-1.45433117798574	0.414405647196029	209	115	0.000550904793335057	0.00356188443966631
X820	sample_type	paraffin_ctrl	-0.474398594890962	0.135271107922114	209	19	0.000555648832860379	0.00357202821124529
X76731	sample_type	paraffin_ctrl	-1.2864944778972	0.371190218477031	209	54	0.000642523215550833	0.00410703759940163
X76857	sample_type	paraffin_ctrl	-1.29761326481454	0.379146188875491	209	62	0.000747816893060575	0.00475307347284264
X1054460	sample_type	paraffin_ctrl	-1.31133362317849	0.384121465523634	209	103	0.000770537907376718	0.00486997272920678
X2748	sample_type	paraffin_ctrl	-0.869867834767481	0.255881281284397	209	56	0.000809856084450372	0.00508987762573558
X1112	sample_type	paraffin_ctrl	0.267103775342792	0.0787107234895707	209	15	0.000826872943945257	0.00516795589965786
X997877	sample_type	paraffin_ctrl	-0.630623680317794	0.186877033115663	209	20	0.000882724134011088	0.00548654503183687
X726	sample_type	paraffin_ctrl	-1.35169166015541	0.401146911638831	209	51	0.000897947605241464	0.00552917905047776
X490	sample_type	paraffin_ctrl	-1.07960859824559	0.320444848153724	209	37	0.000899413125544382	0.00552917905047776
X334413	sample_type	paraffin_ctrl	-1.65011537466158	0.491926820058651	209	58	0.000945957295050436	0.0057837062876725
X408	sample_type	paraffin_ctrl	1.07508956712684	0.321325321588166	209	56	0.000974197211765535	0.00592417223370933
X272123	sample_type	paraffin_ctrl	0.531640979594026	0.159215207189371	209	25	0.000996631994747118	0.0060280160972608
X488	sample_type	paraffin_ctrl	-1.21565953786875	0.366036061883148	209	47	0.00105962206964289	0.00637473170239706
X392499	sample_type	paraffin_ctrl	0.431010462784638	0.130444907313335	209	22	0.00112250752738475	0.00668166484583868
X882378	sample_type	paraffin_ctrl	-0.243065651290805	0.0735636598245252	209	16	0.0011225196941009	0.00668166484583868
X1768242	sample_type	paraffin_ctrl	-0.704951946427886	0.213697290505705	209	36	0.00114291316283534	0.00676724899047241
X47770	sample_type	paraffin_ctrl	0.871109118483464	0.26499753622728	209	27	0.0011885834664875	0.00696435624895017
X526944	sample_type	paraffin_ctrl	-0.838281777810485	0.254899780308341	209	52	0.00118283386038032	0.00696435624895017
X203119	sample_type	paraffin_ctrl	-0.39926538063049	0.122543563565808	209	23	0.00131066970954816	0.00763991411006053
X663278	sample_type	paraffin_ctrl	-0.460948844784161	0.142173127177674	209	23	0.00138263544909335	0.00798426647336989
X43675	sample_type	paraffin_ctrl	-0.673333712754316	0.207698319496675	209	18	0.00138393952205078	0.00798426647336989
X28449	sample_type	paraffin_ctrl	-0.775839959306069	0.239800838868149	209	39	0.001414416978151	0.00811846479806058
X249188	sample_type	paraffin_ctrl	-0.400086010727594	0.124435116345938	209	26	0.00151232302701223	0.00863636246390231
X1176536	sample_type	paraffin_ctrl	1.01616595713858	0.318082702105403	209	96	0.00161875418955819	0.00919746698612606
X2109687	sample_type	paraffin_ctrl	-0.529372100802475	0.166488735305966	209	18	0.00170092807551382	0.0096157994218746
X368607	sample_type	paraffin_ctrl	-0.596115579839968	0.188409176682724	209	44	0.00179078094388609	0.0100549742735457
X1496	sample_type	paraffin_ctrl	-0.796102727500862	0.251694705908836	209	44	0.0017964887368735	0.0100549742735457
X1343	sample_type	paraffin_ctrl	-1.20053770130454	0.380420624592819	209	81	0.00183903092927971	0.0101984133428118
X712310	sample_type	paraffin_ctrl	-1.02230727532486	0.323964581624352	209	41	0.00184024702985849	0.0101984133428118
X614	sample_type	paraffin_ctrl	-0.464107207023353	0.147365896708475	209	20	0.00187827266821268	0.0103581213320552
X54005	sample_type	paraffin_ctrl	-1.45287192013121	0.46406772982052	209	45	0.00199569084319234	0.0109519619443482
X682634	sample_type	paraffin_ctrl	-0.298126549573947	0.0952872529949157	209	18	0.00200881979718745	0.0109704964652227
X2025876	sample_type	paraffin_ctrl	-0.231806407569085	0.0742358473539643	209	15	0.00204929167125739	0.0110924438280825
X487	sample_type	paraffin_ctrl	-0.789247833969294	0.252775308250062	209	39	0.00205086961443658	0.0110924438280825
X537007	sample_type	paraffin_ctrl	-0.324497041772979	0.104305079079157	209	21	0.00212724075654192	0.0114504586177496
X267747	sample_type	paraffin_ctrl	1.72782413717159	0.556887859231962	209	143	0.00218571200001451	0.0117091714286491
X1176646	sample_type	paraffin_ctrl	0.60245604400575	0.19458817829891	209	48	0.00223261949366354	0.0119037769211919
X29459	sample_type	paraffin_ctrl	-0.247142396667573	0.0799819293977283	209	19	0.00227673691488027	0.0120817407039637
X361183	sample_type	paraffin_ctrl	0.117610694452457	0.038148411984721	209	8	0.00232853909718654	0.0122986219921824
X2587858	sample_type	paraffin_ctrl	0.428432257333818	0.139463369169901	209	13	0.00241191980663758	0.0126794849648004
X29343	sample_type	paraffin_ctrl	-0.313126839392374	0.101994455060936	209	19	0.00242716197975008	0.0127002661731109
