feature	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Collinsella.aerofaciens	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.finegoldii	Bacteroides.fragilis	Bacteroides.intestinalis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Bacteroides.xylanisolvens	Bacteroidales.bacterium.ph8	Barnesiella.intestinihominis	Coprobacter.fastidiosus	Odoribacter.splanchnicus	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.merdae	Parabacteroides.unclassified	Paraprevotella.clara	Paraprevotella.unclassified	Prevotella.copri	Alistipes.finegoldii	Alistipes.onderdonkii	Alistipes.putredinis	Alistipes.shahii	Alistipes.unclassified	Streptococcus.salivarius	Clostridium.bolteae	Clostridium.citroniae	Clostridium.clostridioforme	Clostridium.hathewayi	Clostridium.leptum	Clostridium.nexile	Clostridium.symbiosum	Flavonifractor.plautii	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.siraeum	Eubacterium.sp.3.1.31	Eubacterium.ventriosum	Ruminococcus.gnavus	Ruminococcus.obeum	Ruminococcus.torques	Coprococcus.comes	Dorea.longicatena	Lachnospiraceae.bacterium.1.1.57FAA	Lachnospiraceae.bacterium.3.1.46FAA	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Roseburia.unclassified	Oscillibacter.unclassified	Peptostreptococcaceae.noname.unclassified	Faecalibacterium.prausnitzii	Ruminococcus.bromii	Ruminococcus.callidus	Ruminococcus.lactaris	Subdoligranulum.unclassified	Coprobacillus.unclassified	Acidaminococcus.unclassified	Dialister.invisus	Veillonella.atypica	Veillonella.dispar	Veillonella.parvula	Veillonella.unclassified	Burkholderiales.bacterium.1.1.47	Parasutterella.excrementihominis	Sutterella.wadsworthensis	Bilophila.unclassified	Escherichia.coli	Escherichia.unclassified	Klebsiella.pneumoniae	Haemophilus.parainfluenzae	Akkermansia.muciniphila	C2likevirus.unclassified
CSM5FZ4M	-19.395515669084	-18.6387868200963	-19.1242136472666	-18.2993003538247	-18.4461417421539	-15.0294949900134	-18.3708536148497	-2.93641974787792	-19.0835716627692	-19.5530569460704	-19.9315685693242	-19.7940650455742	-18.346606068603	-20.1660338229612	-2.38939064060112	-6.78928597352596	-20.9315685693242	-5.64880590151803	-1.61788835406362	-14.7536507771283	-6.4908291463099	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-8.58533187793392	-18.4461417421539	-18.346606068603	-4.04474791155918	-17.9497159160344	-19.7299347081545	-19.7299347081545	-13.8483552010752	-7.91169989181971	-4.08932873068166	-18.9315685693242	-18.8959446595935	-19.2534966642115	-14.7260196581511	-19.6096404744368	-13.6314448447552	-20.005569150768	-10.2561407391912	-18.8272319095094	-19.6685341634904	-18.6685341634904	-19.395515669084	-9.30841866910372	-18.8272319095094	-8.47270061353479	-19.0440432985826	-19.4986091620481	-10.323868381187	-9.27032490202353	-9.9548612574773	-9.51741189005003	-8.34754562906663	-18.4721369506869	-18.6685341634904	-20.2534966642115	-19.0440432985826	-18.7299347081545	-21.9315685693242	-7.91103997713407	-19.0835716627692	-3.41705329389574	-7.1357521167492	-19.2091025448531	-19.7940650455742	-5.9969838827838	-19.0835716627692	-5.11826334560222	-17.2993003538247	-19.2993003538247	-19.2993003538247	-18.9680944453493	-19.9315685693242	-19.346606068603	-19.6685341634904	-19.7299347081545	-11.0300982494999	-9.94629585507073	-20.6685341634904	-17.7777632332451	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCUO	-11.800740635179	-18.6387868200963	-11.7732113432752	-18.2993003538247	-11.9623259648897	-5.27967599973892	-11.2960318174063	-7.4312495000795	-19.0835716627692	-8.58927162337361	-19.9315685693242	-7.325764990572	-18.346606068603	-20.1660338229612	-4.85996375436938	-6.2673324154876	-3.57961655666431	-10.6470914515138	-3.88453840816174	-2.56356521538284	-10.11075138746	-8.69179105675606	-5.67798696172934	-18.9315685693242	-8.3607167065067	-18.9315685693242	-18.4461417421539	-8.58405792603649	-16.5740165647061	-7.13435288891216	-5.61813280028771	-19.7299347081545	-17.9867101235166	-8.16727748992212	-4.40528330506508	-8.89148437505155	-18.8959446595935	-19.2534966642115	-13.8105531683628	-17.8272319095094	-19.2993003538247	-15.6535838220244	-18.0440432985826	-18.8272319095094	-19.6685341634904	-13.7516594793092	-3.74586653196243	-12.5095038031514	-4.72697068044658	-19.5530569460704	-19.0440432985826	-19.4986091620481	-19.005569150768	-9.68257366667756	-8.86279029133876	-9.54376662766791	-6.93135725251972	-13.0355389663474	-9.23182262135317	-13.4221894204095	-3.89963049736509	-7.04604377404351	-21.9315685693242	-19.005569150768	-9.00972763224968	-2.63750430147701	-18.7299347081545	-19.2091025448531	-10.737550485102	-4.96171891288516	-19.0835716627692	-19.2091025448531	-17.2993003538247	-19.2993003538247	-19.2993003538247	-15.5669961370283	-14.5255762096483	-10.008241083905	-6.84863783633253	-19.7299347081545	-9.75153511440757	-8.5653010036528	-20.6685341634904	-7.80751189581758	-12.0186792330942	-19.1660338229612	-17.6989078125339
CSM5MCVL	-19.395515669084	-18.6387868200963	-19.1242136472666	-18.2993003538247	-10.6006516912096	-18.9680944453493	-18.3708536148497	-15.005569150768	-19.0835716627692	-19.5530569460704	-19.9315685693242	-1.94138702900273	-18.346606068603	-20.1660338229612	-15.3109821588723	-17.8441057280738	-20.9315685693242	-2.95028002490534	-19.6685341634904	-1.67114975212572	-5.4250936175353	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-18.9315685693242	-18.4461417421539	-18.346606068603	-12.9762092640812	-17.9497159160344	-19.7299347081545	-19.7299347081545	-17.9867101235166	-19.4986091620481	-18.58107132224	-18.9315685693242	-18.8959446595935	-19.2534966642115	-7.85401845347986	-19.6096404744368	-5.17804885256621	-7.12145889586892	-18.0440432985826	-9.63304771219823	-19.6685341634904	-7.72711969254747	-19.395515669084	-19.005569150768	-6.10236117449753	-19.5530569460704	-19.0440432985826	-19.4986091620481	-13.7417440104442	-19.4461417421539	-10.2485739856425	-18.5530569460704	-13.9248217368836	-18.4721369506869	-15.5530569460704	-5.47649826203621	-19.0440432985826	-18.7299347081545	-21.9315685693242	-19.005569150768	-19.0835716627692	-13.009132829091	-18.7299347081545	-19.2091025448531	-19.7940650455742	-16.5740165647061	-10.9420321487631	-6.69497131629568	-5.3868455715687	-19.2993003538247	-19.2993003538247	-18.9680944453493	-19.9315685693242	-19.346606068603	-19.6685341634904	-19.7299347081545	-18.0440432985826	-6.47150949431759	-20.6685341634904	-6.17796528649835	-18.5530569460704	-19.1660338229612	-6.13880877199935
CSM5MCVN	-19.395515669084	-18.6387868200963	-19.1242136472666	-18.2993003538247	-16.9497159160344	-18.9680944453493	-18.3708536148497	-17.2993003538247	-19.0835716627692	-19.5530569460704	-19.9315685693242	-2.74621883560923	-18.346606068603	-16.2877123795495	-19.2993003538247	-17.8441057280738	-20.9315685693242	-3.58557086920348	-19.6685341634904	-1.23855131557013	-5.92546168207283	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-18.9315685693242	-18.4461417421539	-18.346606068603	-10.5433359724286	-17.9497159160344	-19.7299347081545	-19.7299347081545	-17.9867101235166	-19.4986091620481	-18.58107132224	-18.9315685693242	-18.8959446595935	-19.2534966642115	-9.51477104171811	-19.6096404744368	-3.498737989175	-10.7097398108356	-18.0440432985826	-9.08083476791708	-19.6685341634904	-9.59863691000414	-19.395515669084	-12.1165055521313	-5.78094860401833	-19.5530569460704	-19.0440432985826	-19.4986091620481	-19.005569150768	-15.9588759153199	-14.8806316040989	-18.5530569460704	-7.5558503184847	-18.4721369506869	-9.89032011039957	-10.0147933847838	-19.0440432985826	-18.7299347081545	-21.9315685693242	-19.005569150768	-19.0835716627692	-19.1660338229612	-18.7299347081545	-19.2091025448531	-19.7940650455742	-13.6685341634904	-15.4853123394346	-3.0283457248906	-5.47815645111866	-19.2993003538247	-19.2993003538247	-18.9680944453493	-19.9315685693242	-19.346606068603	-19.6685341634904	-19.7299347081545	-18.0440432985826	-12.3978494981843	-11.202967758681	-17.7777632332451	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCW6	-19.395515669084	-18.6387868200963	-19.1242136472666	-18.2993003538247	-18.4461417421539	-18.9680944453493	-18.3708536148497	-0.325669522285948	-19.0835716627692	-19.5530569460704	-19.9315685693242	-19.7940650455742	-18.346606068603	-20.1660338229612	-19.2993003538247	-17.8441057280738	-20.9315685693242	-19.7299347081545	-19.6685341634904	-19.4461417421539	-18.1449722074334	-18.4721369506869	-18.1449722074334	-8.21295007591177	-5.60824635518623	-18.9315685693242	-18.4461417421539	-18.346606068603	-16.5740165647061	-17.9497159160344	-19.7299347081545	-19.7299347081545	-17.9867101235166	-19.4986091620481	-18.58107132224	-18.9315685693242	-4.68994658534061	-19.2534966642115	-6.7921291324506	-19.6096404744368	-5.9918791737505	-20.005569150768	-18.0440432985826	-18.8272319095094	-8.25671426137755	-10.9631897679536	-5.37452974509774	-19.005569150768	-18.8272319095094	-19.5530569460704	-19.0440432985826	-19.4986091620481	-11.7075668951261	-10.8970446939898	-9.74421649612368	-18.5530569460704	-18.8272319095094	-9.37018514783219	-18.6685341634904	-5.06810337181356	-19.0440432985826	-9.72138429341654	-21.9315685693242	-6.31016913098767	-19.0835716627692	-19.1660338229612	-18.7299347081545	-19.2091025448531	-19.7940650455742	-6.71262700070552	-19.0835716627692	-19.2091025448531	-17.2993003538247	-19.2993003538247	-19.2993003538247	-18.9680944453493	-16.2422694087883	-11.4001871088079	-7.45279894984841	-19.7299347081545	-18.0440432985826	-16.3647534153133	-20.6685341634904	-17.7777632332451	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCWC	-19.395515669084	-15.4017476227955	-11.6268750118532	-18.2993003538247	-18.4461417421539	-16.0835716627692	-18.3708536148497	-14.9451576340721	-19.0835716627692	-19.5530569460704	-19.9315685693242	-19.7940650455742	-18.346606068603	-20.1660338229612	-13.8871744499657	-17.8441057280738	-11.88553595457	-19.7299347081545	-12.3022119492446	-10.8196504557687	-18.1449722074334	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-18.9315685693242	-18.4461417421539	-18.346606068603	-16.5740165647061	-17.9497159160344	-13.823044112546	-19.7299347081545	-17.9867101235166	-19.4986091620481	-13.5828404150931	-18.9315685693242	-18.8959446595935	-19.2534966642115	-19.7299347081545	-19.6096404744368	-10.6960329626137	-6.64678783733778	-18.0440432985826	-18.8272319095094	-19.6685341634904	-8.7022089696021	-12.1647084254946	-19.005569150768	-12.8611792414328	-19.5530569460704	-19.0440432985826	-19.4986091620481	-6.66071846682496	-19.4461417421539	-8.07226674497463	-18.5530569460704	-18.8272319095094	-18.4721369506869	-18.6685341634904	-20.2534966642115	-0.477490214939488	-18.7299347081545	-21.9315685693242	-7.93079389231697	-19.0835716627692	-11.0231759485504	-18.7299347081545	-19.2091025448531	-19.7940650455742	-4.26913383854132	-11.3139174498968	-19.2091025448531	-17.2993003538247	-19.2993003538247	-19.2993003538247	-2.89260672494592	-19.9315685693242	-19.346606068603	-19.6685341634904	-19.7299347081545	-18.0440432985826	-4.30782136682404	-20.6685341634904	-17.7777632332451	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCWE	-19.395515669084	-11.5221776331865	-8.83287847265058	-18.2993003538247	-18.4461417421539	-18.9680944453493	-18.3708536148497	-19.5530569460704	-19.0835716627692	-19.5530569460704	-19.9315685693242	-19.7940650455742	-18.346606068603	-20.1660338229612	-19.2993003538247	-17.8441057280738	-20.9315685693242	-19.7299347081545	-19.6685341634904	-19.4461417421539	-18.1449722074334	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-18.9315685693242	-18.4461417421539	-18.346606068603	-16.5740165647061	-17.9497159160344	-19.7299347081545	-19.7299347081545	-17.9867101235166	-19.4986091620481	-18.58107132224	-18.9315685693242	-18.8959446595935	-19.2534966642115	-19.7299347081545	-19.6096404744368	-4.84218429877029	-7.14517640766313	-18.0440432985826	-18.8272319095094	-19.6685341634904	-8.83097192831033	-19.395515669084	-19.005569150768	-18.8272319095094	-19.5530569460704	-19.0440432985826	-19.4986091620481	-4.65383439236396	-19.4461417421539	-7.70274987882829	-18.5530569460704	-18.8272319095094	-18.4721369506869	-18.6685341634904	-20.2534966642115	-1.94342202047138	-18.7299347081545	-21.9315685693242	-4.10199447119148	-12.3421046763681	-19.1660338229612	-18.7299347081545	-19.2091025448531	-19.7940650455742	-4.69290633549753	-11.3454794031487	-19.2091025448531	-17.2993003538247	-16.5952851814597	-19.2993003538247	-1.68462390031806	-7.23232147481465	-19.346606068603	-19.6685341634904	-19.7299347081545	-18.0440432985826	-2.20433942996732	-20.6685341634904	-12.0929949166558	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCWG	-19.395515669084	-18.6387868200963	-11.4083987032386	-18.2993003538247	-18.4461417421539	-18.9680944453493	-18.3708536148497	-19.5530569460704	-19.0835716627692	-19.5530569460704	-19.9315685693242	-19.7940650455742	-18.346606068603	-20.1660338229612	-19.2993003538247	-17.8441057280738	-20.9315685693242	-19.7299347081545	-15.6461663504619	-19.4461417421539	-18.1449722074334	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-18.9315685693242	-18.4461417421539	-18.346606068603	-16.5740165647061	-17.9497159160344	-19.7299347081545	-19.7299347081545	-17.9867101235166	-19.4986091620481	-18.58107132224	-18.9315685693242	-18.8959446595935	-19.2534966642115	-19.7299347081545	-19.6096404744368	-19.2993003538247	-20.005569150768	-18.0440432985826	-18.8272319095094	-19.6685341634904	-18.6685341634904	-19.395515669084	-19.005569150768	-18.8272319095094	-19.5530569460704	-19.0440432985826	-19.4986091620481	-19.005569150768	-19.4461417421539	-14.8806316040989	-18.5530569460704	-18.8272319095094	-18.4721369506869	-18.6685341634904	-20.2534966642115	-19.0440432985826	-18.7299347081545	-21.9315685693242	-19.005569150768	-19.0835716627692	-19.1660338229612	-18.7299347081545	-19.2091025448531	-19.7940650455742	-14.1982142287103	-19.0835716627692	-19.2091025448531	-17.2993003538247	-19.2993003538247	-19.2993003538247	-18.9680944453493	-19.9315685693242	-19.346606068603	-19.6685341634904	-19.7299347081545	-18.0440432985826	-0.311132146726085	-20.6685341634904	-5.16188566260525	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCWQ	-19.395515669084	-18.6387868200963	-19.1242136472666	-18.2993003538247	-18.4461417421539	-13.5793043960659	-13.3406073279816	-3.89477679135058	-19.0835716627692	-19.5530569460704	-19.9315685693242	-6.45753312749987	-18.346606068603	-20.1660338229612	-3.02395023499063	-5.63011524428445	-13.2173230516581	-7.94118091752143	-2.20289734951802	-10.2217954614712	-15.2422694087883	-18.4721369506869	-18.1449722074334	-18.9315685693242	-10.5518653075233	-11.0952025606075	-18.4461417421539	-14.1766810671607	-16.5740165647061	-17.9497159160344	-19.7299347081545	-19.7299347081545	-11.4277428313284	-5.93920551453437	-3.12197626722748	-18.9315685693242	-18.8959446595935	-19.2534966642115	-12.3746793795973	-19.6096404744368	-11.3655145311531	-20.005569150768	-13.005569150768	-18.8272319095094	-12.7027498788283	-18.6685341634904	-19.395515669084	-7.7396148896988	-16.1874074737538	-5.65911373776567	-12.312449057871	-19.4986091620481	-8.72577531992702	-5.28914451412589	-7.82206435356717	-6.86979237173748	-4.94298594689654	-18.4721369506869	-18.6685341634904	-20.2534966642115	-19.0440432985826	-18.7299347081545	-12.7358272760777	-19.005569150768	-19.0835716627692	-3.02739262373887	-4.90695696110682	-19.2091025448531	-19.7940650455742	-4.04386006038113	-13.712400048862	-4.59835730168478	-17.2993003538247	-19.2993003538247	-19.2993003538247	-18.9680944453493	-19.9315685693242	-19.346606068603	-19.6685341634904	-19.7299347081545	-9.82017203749561	-16.3647534153133	-20.6685341634904	-17.7777632332451	-18.5530569460704	-19.1660338229612	-17.6989078125339
CSM5MCX3	-11.943451984564	-18.6387868200963	-19.1242136472666	-18.2993003538247	-9.38776339335978	-5.36396299352815	-9.3441660712047	-7.95085774042398	-19.0835716627692	-7.81317899173786	-19.9315685693242	-7.00627376374454	-18.346606068603	-20.1660338229612	-4.89319823759349	-5.83045463759871	-3.83362287294818	-9.78410922324719	-4.42360982694368	-2.47964916507398	-9.62961517419808	-10.5185753965063	-4.8937771260376	-18.9315685693242	-6.75520839322497	-16.8611792414328	-18.4461417421539	-7.0559151960195	-16.5740165647061	-7.27224157191007	-5.59564093311857	-19.7299347081545	-17.9867101235166	-7.6844124395143	-5.06542462180593	-8.17981531788484	-18.8959446595935	-19.2534966642115	-19.7299347081545	-19.6096404744368	-19.2993003538247	-20.005569150768	-18.0440432985826	-18.8272319095094	-19.6685341634904	-12.9773722589373	-6.42785461471685	-10.203648114761	-3.61685434425541	-19.5530569460704	-19.0440432985826	-19.4986091620481	-19.005569150768	-9.06174341992771	-6.64431792606956	-8.7698068260195	-9.65416492125524	-18.4721369506869	-8.45563252687779	-10.4805635715062	-3.96807412508072	-5.52048796478226	-21.9315685693242	-8.85849814970986	-9.94658055068899	-2.76746694272013	-18.7299347081545	-19.2091025448531	-8.96542365597857	-5.28766729603385	-11.6114449712836	-19.2091025448531	-17.2993003538247	-16.4080066132672	-19.2993003538247	-12.8157445918879	-12.9485749946299	-12.395515669084	-9.58405792603649	-7.85495336050075	-10.9704083111875	-4.81537083458894	-20.6685341634904	-17.7777632332451	-7.71825166811279	-19.1660338229612	-17.6989078125339
