feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis	PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6151..S.adenosyl.L.methionine.cycle.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.6168..flavin.biosynthesis.III..fungi.	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6700..queuosine.biosynthesis	PWY.6897..thiamin.salvage.II	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7242..D.fructuronate.degradation	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	TRNA.CHARGING.PWY..tRNA.charging
CSM5FZ3N_P	240.223	370.092	257.934	373.386	342.242	273.435	268.361	546.857	390.832	381.338	344.609	409.056	203.691	555.926	378.206	313.852	419.124	337.712	372.458	185.541	372.749	435.074	491.961	405.19	429.035	346.648	354.441	368.394	373.398	429.035	423.027	412.439	417.019	453.456	410.532	306.114	381.67	103.381	444.47	441.471	390.304	28.9015	308.123	267.643	280.364	372.749	366.488	418.314	327.82	408.924
CSM5FZ3R_P	207.585	371.624	207.435	378.537	378.537	224.823	242.526	586.728	404.815	377.463	377.996	446.207	138.835	586.49	407.68	346.453	450.275	363.001	392.927	135.576	390.177	440.258	514.102	433.027	466.489	407.322	334.684	374.502	361.327	466.489	458.157	450.666	450.276	476.39	482.042	289.231	347.641	86.4674	475.255	447.28	441.287	12.8293	296.24	241.122	249.79	390.177	387.279	407.792	318.532	430.101
CSM5FZ3T_P	167.485	356.42	178.801	320.165	312.367	190.4	217.449	573.368	332.726	316.548	317.609	377.778	10.4121	541.789	357.088	262.107	415.199	296.013	344.965	66.5941	367.187	384.889	475.084	360.091	364.309	376.33	274.702	368.348	368.783	364.309	380.138	380.523	382.905	444.789	420.505	141.372	342.192	101.782	381.672	396.045	384.759	45.5285	206.436	99.9963	223.212	367.187	355.218	388.375	196.464	357.07
CSM5FZ3V_P	227.979	414.6	222.449	432.266	420.837	236.226	242.353	801.937	408.629	431.788	423.679	471.492	140.706	497.209	455.394	423.344	484.75	409.442	434.476	182.479	428.539	431.907	541.995	418.353	437.427	394.556	395.665	407.042	359.057	437.427	486.913	471.159	476.412	523.6	492.484	345.83	400.81	167.258	479.003	487.698	421.579	28.7885	387.424	309.972	250.04	428.539	424.812	487.489	375.376	462.716
CSM5FZ3X_P	176.752	319.312	205.441	291.321	274.431	215.449	226.377	499.271	316.085	305.902	288.031	352.412	155.468	538.542	317.139	255.911	369.021	261.943	302.658	108.279	314.638	333.848	438.473	354.398	346.989	359.274	278.592	328.202	335.355	346.989	351.627	354.578	358.959	392.2	362.31	84.5568	285.945	149.203	357.748	343.197	376.061	42.3482	205.508	55.9449	237.013	314.638	315.774	341.453	136.105	342.213
CSM5FZ3Z_P	233.753	396.17	251.616	348.498	325.857	259.988	266.741	722.256	359.004	357.649	334.287	383.383	101.934	548.262	384.943	346.656	432.805	316.104	374.48	103.453	372.487	402.245	499.138	382.409	393.107	415.698	263.309	379.947	373.663	393.107	391.668	390.983	387.424	432.673	403.141	151.522	376.845	214.442	418.883	424.747	433.993	59.1333	279.735	110.502	273.825	372.487	355.754	382.088	211.942	390.095
CSM5FZ42_P	185.644	376.986	283.159	339.372	326.133	293.22	295.04	497.138	345.994	318.35	318.616	382.417	126.307	615.004	390.885	244.85	431.453	312.582	384.83	126.085	356.342	414.587	489.992	380.223	403.439	424.715	299.81	369.406	368.901	403.439	386.301	398.115	394.165	468.21	409.618	182.377	319.724	164.069	456.794	438.375	448.704	40.288	266.139	141.645	310.689	356.342	356.134	374.1	187.037	381.306
CSM5FZ44_P	176.203	391.44	186.64	328.03	327.023	199.764	243.423	577.72	372.254	338.387	331.991	399.309	104.09	569.68	376.681	305.782	448.7	311.338	364.173	71.1083	368.508	398.791	498.378	362.827	390.667	404.234	278.874	375.964	367.202	390.667	403.452	408.095	406.308	419.619	417.351	150.294	366.471	142.906	411.556	419.545	415.944	49.3883	209.099	107.988	249.607	368.508	376.019	382.232	211.337	395.115
CSM5FZ46_P	213.034	394.364	160.71	338.915	338.915	173.797	202.52	677.797	384.859	373.332	350.583	413.96	106.083	595.303	391.692	341.803	452.177	320.456	377.011	63.4976	381.873	397.794	506.34	394.287	396.801	414.946	282.697	388.99	398.68	396.801	417.966	420.62	425.292	445.897	431.098	91.4281	367.318	168.948	418.311	437.484	426.663	59.5663	224.171	59.734	205.461	381.873	391.553	410.093	152.346	408.893
CSM5FZ4A_P	118.727	342.226	230.57	468.981	400.439	245.481	200.12	579.283	456.117	454.49	413.376	470.92	110.587	490.675	485.987	422.879	496.405	400.756	455.58	130.558	451.776	475.587	524.256	433.61	442.636	342.651	445.678	440.09	292.383	442.636	488.046	466.83	484.386	499.008	509.219	288.352	428.284	71.5393	486.812	475.13	383.347	47.3632	306.081	236.887	213.697	451.776	399.629	453.575	326.199	430.725
