feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis	PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6151..S.adenosyl.L.methionine.cycle.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.6168..flavin.biosynthesis.III..fungi.	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6700..queuosine.biosynthesis	PWY.6897..thiamin.salvage.II	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7242..D.fructuronate.degradation	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	TRNA.CHARGING.PWY..tRNA.charging
CSM5FZ3N_P	0.0133948295276636	0.0206363222903389	0.0143823945225411	0.0208199956624312	0.0190834068644828	0.015246729962979	0.0149638038275824	0.030492735046226	0.0217927842627718	0.0212633990184961	0.0192153907356857	0.0228089541270735	0.011357805960792	0.0309984222992633	0.0210887587630641	0.0175003810497591	0.0233703455995158	0.0188308141578714	0.0207682504015625	0.0103457623349648	0.0207844765555633	0.0242597172706973	0.0274317352179389	0.0225933860467733	0.0239229827551948	0.0193290853336506	0.0197636228529934	0.0205416418453442	0.0208206647821838	0.0239229827551948	0.0235879767990532	0.022997590137331	0.0232529708429116	0.0252846972117417	0.0228912558566449	0.0170689103292825	0.0212819113316517	0.00576452242874077	0.0247836380369933	0.0246164138588195	0.0217633429936568	0.00161154704417883	0.0171809321278658	0.0149237681623844	0.0156330908601336	0.0207844765555633	0.0204353633246375	0.0233251800162144	0.0182792364418007	0.0228015938097947
CSM5FZ3R_P	0.0113110271352568	0.0202492913655258	0.0113028538372329	0.02062597142712	0.02062597142712	0.0122503025441619	0.013214915176941	0.0319700186863933	0.022057824263598	0.020567450613269	0.0205964930655805	0.0243132186089628	0.00756493220764207	0.0319570503868621	0.0222139342558542	0.0188777574684641	0.0245348784513706	0.0197794357064593	0.0214100631508782	0.00738735368590976	0.0212602193537736	0.0239890656093354	0.0280127257378413	0.0235950581559306	0.0254183574790992	0.0221944273179039	0.01823648050551	0.0204061097102775	0.0196882217005127	0.0254183574790992	0.0249643580181991	0.0245561835148862	0.0245349329400241	0.0259578496373292	0.0262658195068693	0.0157598077383118	0.0189424899888133	0.00471149219700414	0.0258960050156152	0.0243716849341603	0.0240451344337793	0.000699051282252331	0.0161417187106413	0.0131384131074374	0.0136107207559111	0.0212602193537736	0.0211023112359521	0.0222200369850454	0.0173563797742979	0.0234356243558113
CSM5FZ3T_P	0.010698168130733	0.0227664631767373	0.0114209819383419	0.0204506612507157	0.0199525610322875	0.012161872478679	0.0138896376502956	0.0366240992613195	0.0212529999072529	0.0202196239988492	0.0202873957777351	0.0241307135569874	0.000665076851025494	0.0346069786152891	0.0228091319310217	0.0167421844000479	0.0265209941768648	0.0189079430568866	0.0220347706912159	0.00425372348756512	0.0234542094003609	0.0245849313888986	0.0303461713480081	0.0230009496991597	0.0232703760548061	0.024038222005784	0.0175466948195278	0.0235283687173134	0.0235561545079028	0.0232703760548061	0.0242814594553576	0.0243060514769138	0.0244582026336586	0.0284110666907519	0.026859916946675	0.00903019031541919	0.021857644260631	0.00650136399487873	0.0243794442892982	0.025297525135601	0.0245766275894121	0.00290815026862153	0.0131861780830283	0.00638730172762465	0.0142577514690699	0.0234542094003609	0.0226896849691776	0.024807600965898	0.0125492127870336	0.0228079821741698
CSM5FZ3V_P	0.0114436342447262	0.0208112622560126	0.0111660503559762	0.0216980248199651	0.0211243347178813	0.0118576006697753	0.0121651515714699	0.0402540309208876	0.0205115419305648	0.0216740311312088	0.0212669917543781	0.0236670131780316	0.00706287859863606	0.024957903750723	0.0228589579445601	0.021250176093848	0.0243325117670094	0.0205523512798512	0.021808957983462	0.00915971617273257	0.021510944322068	0.0216800044553971	0.027205981877587	0.0209996478499509	0.0219570863841313	0.0198051336002974	0.0198608009660522	0.0204318808760537	0.0180232257401281	0.0219570863841313	0.0244410857184319	0.0236502979095047	0.0239139775058164	0.026282626428481	0.0247207276432468	0.0173592832271993	0.020119059394193	0.00839568283264871	0.0240440353459161	0.024480489579674	0.0211615801510553	0.00144506759155142	0.0194471357170126	0.015559355002462	0.0125510082356329	0.021510944322068	0.0213238638241708	0.0244699986153433	0.0188423742899493	0.0232264930681455
CSM5FZ3X_P	0.0120865283889098	0.0218349639773218	0.0140483189935391	0.0199209035076582	0.0187659436515395	0.0147326788656549	0.0154799495173817	0.0341407911382016	0.0216142975797081	0.0209179709832098	0.0196959290892668	0.0240983844176728	0.0106311011788666	0.0368261924709213	0.021686371451132	0.017499522305458	0.0252341291334972	0.0179119981996029	0.020696142103799	0.0074042568537995	0.0215153498643852	0.022828954295175	0.0299833459438675	0.0242341896440938	0.023727552724379	0.0245676167760319	0.0190504781667148	0.0224428735759538	0.0229320048874291	0.023727552724379	0.0240447051111569	0.0242464982748873	0.0245460766721434	0.0268191388732826	0.0247752223487481	0.0057821024015308	0.0195532857346272	0.0102026924459724	0.0244632669394164	0.0234682509023303	0.0257155333600855	0.00289582421426197	0.0140529005394456	0.00382558399375805	0.0162072528347102	0.0215153498643852	0.0215930310009483	0.0233489939461983	0.00930703441190241	0.0234009637206595
CSM5FZ3Z_P	0.0136022865700171	0.0230534704172511	0.0146417497854634	0.0202793960508649	0.0189618969375626	0.0151289236106729	0.0155218864441224	0.0420286930602572	0.0208907491573688	0.0208119005509236	0.019452445832273	0.0223093839739934	0.00593162645710697	0.0319038337024583	0.0224001617053989	0.0201722084987823	0.0251852923339434	0.0183943615437179	0.021791310805594	0.00602001836352039	0.0216753364346381	0.0234069798520513	0.0290452662168409	0.0222527060827184	0.0228752318330876	0.0241898214037167	0.0153221754350303	0.0221094402014875	0.021743768878313	0.0228752318330876	0.0227914951949514	0.0227516344603278	0.0225445332128457	0.025177611141286	0.023459118856756	0.00881719449873214	0.0219289321740389	0.0124785629987534	0.0243751592720029	0.0247163904367219	0.0252544230678598	0.00344101719520517	0.0162780183940473	0.00643020568959557	0.0159341104500688	0.0216753364346381	0.0207016288836074	0.0222340268187561	0.0123330858650908	0.0226999609824508
CSM5FZ42_P	0.0109298464867724	0.0221951644419555	0.01667107152048	0.0199806288482737	0.0192011787306379	0.0172634159296902	0.0173705689785683	0.0292691496775606	0.0203705010953456	0.0187429522584301	0.0187586130886507	0.0225149162048439	0.00743636271683847	0.0362085459737507	0.023013472258635	0.0144156175921992	0.0254019254931881	0.0184033595189087	0.0226569823075597	0.00742329239988741	0.0209797427161096	0.0244089346567167	0.0288484267724601	0.0223857437931744	0.0237525927946875	0.0250052237111328	0.0176514041671114	0.0217488896559687	0.0217191576286701	0.0237525927946875	0.0227435878761859	0.0234391406890683	0.0232065832478219	0.0275660049534146	0.0241163832831588	0.0107375008765061	0.0188238469228029	0.00965961185515428	0.0268938845105617	0.0258094603307344	0.0264175833207684	0.00237196815011035	0.015669013887565	0.00833939209249357	0.0182919085730152	0.0209797427161096	0.0209674966533807	0.0220252503215916	0.0110118597818753	0.022449505744787
CSM5FZ44_P	0.0106334183239983	0.0236224426868209	0.0112632656424184	0.0197958049115007	0.0197350349345295	0.0120552668120021	0.0146899802425761	0.0348639832133409	0.0224646147045264	0.0204208244263878	0.0200348415339269	0.0240973175118326	0.00628157587183524	0.0343787889582774	0.0227317732825321	0.0184531927489819	0.027077943065544	0.0187884837043466	0.0219769462001523	0.00429121127454339	0.0222385528040951	0.0240660574839566	0.0300758883644298	0.0218957184057101	0.0235757940351836	0.0243945291668311	0.0168293610306675	0.0226885040933679	0.0221597389114194	0.0235757940351836	0.0243473373872963	0.024627531034841	0.0245196899734233	0.0253229761337653	0.0251861079036056	0.0090698738023019	0.0221156248566369	0.00862402614603215	0.0248363938851861	0.0253185104154973	0.0251011989089695	0.00298046261534211	0.0126186111367555	0.00651681059897919	0.0150631694556747	0.0222385528040951	0.0226918232082968	0.0230667625001761	0.0127536689405903	0.0238442199116167
CSM5FZ46_P	0.0125500648522719	0.0232324125510546	0.0094676010515158	0.0199658515983727	0.0199658515983727	0.0102385704682365	0.0119306736665608	0.0399297591308211	0.0226724626537572	0.0219933945352778	0.020653226180347	0.0243868342435784	0.0062494650136765	0.035069947786513	0.023075002122272	0.0201359868222964	0.0266382393172252	0.0188784118136056	0.022210128430297	0.00374071274051851	0.0224965541431491	0.0234344775850083	0.0298290406099466	0.0232278763972311	0.0233759788740123	0.024444920576954	0.016653988018545	0.0229158243608309	0.0234866728095222	0.0233759788740123	0.024622832064575	0.0247791820937625	0.0250544146997776	0.0262682776807152	0.0253964524802835	0.00538612890111438	0.0216391032483398	0.00995291059953638	0.0246431563901476	0.0257726586921868	0.0251351818022705	0.00350911557784149	0.013206157646191	0.00351899496740243	0.0121039311781811	0.0224965541431491	0.0230668134809543	0.0241590250638994	0.00897486870632958	0.0240883317575599
CSM5FZ4A_P	0.00621205806477285	0.0179060178668285	0.0120639300916782	0.0245381185684405	0.020951850205931	0.0128441064441829	0.0104707190438766	0.0303093620822206	0.0238650457632215	0.023779917540733	0.0216287425318886	0.0246395713179212	0.00578615534132114	0.025673196416421	0.025427909933922	0.0221259604165276	0.0259730026332979	0.0209684363439328	0.0238369487408021	0.00683108203543097	0.0236379150847812	0.0248837590341803	0.0274302282783659	0.0226874299650977	0.0231596901594312	0.0179282548026353	0.0233188542976057	0.0230264778333983	0.0152981223576143	0.0231596901594312	0.0255356413476305	0.0244255735121574	0.0253441420886829	0.0261091973248391	0.026643459328422	0.0150872115617625	0.0224087619177876	0.00374309369825907	0.0254710757504881	0.0248598477879128	0.0200575591310862	0.00247814691294692	0.0160148318792165	0.0123944494410694	0.0111810975790491	0.0236379150847812	0.0209094692223935	0.0237320427259961	0.0170674499370054	0.0225364804126213
