feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis	PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6151..S.adenosyl.L.methionine.cycle.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.6168..flavin.biosynthesis.III..fungi.	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6700..queuosine.biosynthesis	PWY.6897..thiamin.salvage.II	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7242..D.fructuronate.degradation	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	TRNA.CHARGING.PWY..tRNA.charging
CSM5FZ3N_P	-6.22217996926329	-5.59867030652569	-6.11955229993602	-5.58588642170366	-5.71153743836122	-6.03535633543149	-6.06237923208724	-5.0353906310748	-5.52000566172453	-5.55548395531549	-5.70159387656919	-5.4542558943863	-6.46017202000218	-5.01166140004783	-5.56738200593141	-5.83646985442496	-5.41917712099327	-5.73076081297014	-5.58947650673169	-6.59481623463463	-5.58834977475457	-5.36529345277631	-5.1880103057899	-5.46795568766646	-5.38545891153255	-5.69308281998697	-5.66100875940225	-5.60530469227286	-5.58584005664899	-5.38545891153255	-5.40580450952495	-5.44237349726042	-5.42644114037	-5.30559168770795	-5.449059575791	-5.87248522940082	-5.55422846445877	-7.43858319425717	-5.33446821082383	-5.34423558574821	-5.52195600864901	-9.27733798058802	-5.86304787973785	-6.06624433629889	-5.99925314414727	-5.58834977475457	-5.61278829620852	-5.42196797439983	-5.77365038221434	-5.45472151884423
CSM5FZ3R_P	-6.4661262458	-5.62598476875673	-6.46716910766476	-5.59939412180607	-5.59939412180607	-6.3510388100512	-6.24168902504491	-4.96713660240452	-5.50256569616731	-5.6034932104735	-5.60145747700714	-5.36211529830764	-7.04645713072461	-4.96772193509536	-5.49239126205167	-5.72716879590558	-5.3490220656292	-5.65985492217647	-5.54556713868818	-7.08072663313879	-5.55569970772373	-5.38147922501671	-5.15777382017374	-5.40537146241231	-5.29798538261515	-5.49365870644532	-5.77702886198148	-5.61485502144865	-5.66652338121234	-5.29798538261515	-5.32398638288118	-5.34776983313806	-5.3490188616018	-5.26768531514555	-5.25066959176403	-5.98760625502333	-5.7222302043539	-7.72960023028624	-5.27112663968951	-5.35865019467871	-5.37811119758462	-10.4823140842673	-5.95306199013634	-6.2500651561453	-6.19911272297353	-5.55569970772373	-5.56645517065085	-5.49199497169321	-5.84839013060573	-5.41515295915519
CSM5FZ3T_P	-6.54649240763079	-5.45694600693911	-6.45216949558223	-5.61170869782016	-5.64728225277842	-6.36149082219926	-6.16984722666423	-4.77106291166529	-5.55618969460191	-5.62810002042891	-5.62327250652734	-5.37298561239319	-10.5541913228644	-4.85279319819952	-5.45424464810674	-5.90036841711227	-5.23672133185254	-5.72486376477571	-5.50407430674535	-7.8770580304148	-5.41400931880236	-5.34608186085308	-5.04234168072938	-5.44216275912761	-5.42536166454843	-5.37852599914576	-5.83265688668333	-5.40945489152554	-5.40775214828008	-5.42536166454843	-5.36400105130602	-5.36254064348131	-5.35353780172231	-5.1374031913846	-5.21840134594776	-6.79102789117321	-5.51571826894075	-7.26504185541233	-5.35819094856684	-5.30485993723616	-5.34656922743391	-8.42568246719481	-6.24482971917015	-7.29057768154917	-6.13210971151349	-5.41400931880236	-5.46181961146348	-5.333073964498	-6.31625932311768	-5.45431737294002
CSM5FZ3V_P	-6.44931089690593	-5.58649171892238	-6.48473722235066	-5.5262924702449	-5.56495028337764	-6.39804407297701	-6.36110189415554	-4.63472293205314	-5.6074202410109	-5.52788868599043	-5.55524021326853	-5.40097854306582	-7.14552798593042	-5.32435942446231	-5.45109655186019	-5.55638139329292	-5.36097093703764	-5.60455273573475	-5.51893534909478	-6.77048138967341	-5.5387853298738	-5.52749113659869	-5.1999322928468	-5.57349105471139	-5.50916956248277	-5.65798175645259	-5.65393238330068	-5.61303417093838	-5.79399894650321	-5.50916956248277	-5.35454781600079	-5.40199783327736	-5.3860020826999	-5.24974673808656	-5.33813498084256	-5.84814881030533	-5.63529333190038	-6.89613661831879	-5.37817714376824	-5.35222377932974	-5.56240883118022	-9.43464730978011	-5.68429850711646	-6.0060739336946	-6.31605292774033	-5.5387853298738	-5.55138731570606	-5.35284216999361	-5.72987542224897	-5.42808484945211
CSM5FZ3X_P	-6.3704562706903	-5.51721603877023	-6.15345868030904	-5.6495731078076	-5.73573935133952	-6.08483640809042	-6.01345542314653	-4.87235969971793	-5.53187023740572	-5.57911327100184	-5.66595871692721	-5.37491975994768	-6.55556514953699	-4.76312394777143	-5.52706750732158	-5.8365406492573	-5.3084798917837	-5.80292990148185	-5.59449432477636	-7.07742934146936	-5.53848988941369	-5.45299141289792	-5.05969480224365	-5.36681234807889	-5.3972928820989	-5.34709827640359	-5.71402897997789	-5.47759877994386	-5.44649369814828	-5.3972928820989	-5.37813695693937	-5.36607978417563	-5.34836374030463	-5.22059327479891	-5.33495818463352	-7.43419012536763	-5.6764451313598	-6.61490626641404	-5.35323910878066	-5.41314586851727	-5.28121611316114	-8.4318102557595	-6.1529882542046	-8.03010428572277	-5.94721661820472	-5.53848988941369	-5.53329042195306	-5.42049580087189	-6.7474627431733	-5.41728824430851
CSM5FZ3Z_P	-6.20000699815649	-5.43887224272591	-6.09376821429737	-5.62384150229523	-5.72075289191404	-6.04654684311801	-6.00955228442805	-4.57248159516449	-5.5809919603548	-5.58644747120833	-5.68390462745528	-5.48620551258599	-7.39735653741705	-4.9701263949004	-5.48034704272689	-5.63148714767715	-5.31127471284721	-5.76459258759796	-5.52010320874763	-7.37601639685993	-5.5278018033026	-5.41691739088878	-5.10555313671238	-5.48987540134833	-5.4500698250556	-5.36945607200395	-6.02823504482786	-5.49919369238006	-5.52325416335644	-5.4500698250556	-5.45536061665974	-5.45788599861249	-5.47107855065688	-5.31171478352925	-5.41370736416884	-6.82546460015171	-5.51102062786474	-6.3244043832939	-5.35844454403338	-5.33838812126027	-5.30732010570289	-8.18294918323664	-5.94093110608489	-7.28091939740229	-5.97173770941618	-5.5278018033026	-5.59411190080146	-5.49108693032841	-6.34132236771009	-5.46116637201506
CSM5FZ42_P	-6.51558305174089	-5.49361079227573	-5.90650935434052	-5.64525420013743	-5.70266131129456	-5.85613822947435	-5.84721117901284	-5.0944753563542	-5.61737472008073	-5.73750797567098	-5.73630302312034	-5.47297508145233	-7.0711871436379	-4.78752594608899	-5.44137751684349	-6.11622354384605	-5.29891833080141	-5.76388703659808	-5.46390046894441	-7.07372508764305	-5.57485920416025	-5.35644686061273	-5.11536354506191	-5.48127593546461	-5.39577118547342	-5.32162667749076	-5.82407323549353	-5.52291444070842	-5.5248880400628	-5.39577118547342	-5.45839632767838	-5.41493651021697	-5.4293220623652	-5.18096599212298	-5.37384262626342	-6.54119794064327	-5.73129469617654	-6.69381906515533	-5.21657803890102	-5.27595621441464	-5.24235769482556	-8.71969964661052	-5.99594180155871	-6.90584206371515	-5.77265057640652	-5.57485920416025	-5.57570156397877	-5.50469777400399	-6.50479804498662	-5.47717250727575
CSM5FZ44_P	-6.55525073530315	-5.40369803494847	-6.47223101039731	-5.65866146020809	-5.66309711671407	-6.37419260817543	-6.08902373424517	-4.84211878285133	-5.47620187167638	-5.61381507812062	-5.64134509099288	-5.37498363368344	-7.31465774827149	-4.86233746504776	-5.45914595805508	-5.75998573855011	-5.2067380388178	-5.73400754880115	-5.50786525880962	-7.86439935182737	-5.49079328347088	-5.3768563717767	-5.05524883824107	-5.51320740390962	-5.40654982793776	-5.35729855136559	-5.89287578763966	-5.46189469791845	-5.49591530628561	-5.40654982793776	-5.3600921812527	-5.34358418809832	-5.34991545204425	-5.30340921940404	-5.31122799513431	-6.78470180734377	-5.49879018494101	-6.85742273265078	-5.3314004728037	-5.30366366176168	-5.31609991648644	-8.39024800731	-6.30830306046694	-7.26161821879849	-6.05283082900178	-5.49079328347088	-5.46168366062801	-5.43804065877948	-6.29294385241917	-5.39021660553487
CSM5FZ46_P	-6.31616137047443	-5.42771721235132	-6.7227853700055	-5.64632158158802	-5.64632158158802	-6.60984189263566	-6.38918068253648	-4.64639182057907	-5.46291508650359	-5.50678589793925	-5.59748903133369	-5.35775370173174	-7.3220515917115	-4.83362090712226	-5.437525409215	-5.63408001231366	-5.23035746067832	-5.72711878974719	-5.49263845446674	-8.06247110298653	-5.47415215283491	-5.41522355599549	-5.06713861268928	-5.42799892763096	-5.41882941035244	-5.35432147182572	-5.90798849862549	-5.4475120044382	-5.41201383833121	-5.41882941035244	-5.34385948276394	-5.33472762169681	-5.31879135464509	-5.25053457868074	-5.29922920248361	-7.5365355277573	-5.53021547646859	-6.65066579986308	-5.34266913598329	-5.27801481733532	-5.31414806571915	-8.15467681887335	-6.24264541668962	-8.15062083380518	-6.36838050011298	-5.47415215283491	-5.43803747022475	-5.37129395381444	-6.79989345080859	-5.37552170688468
CSM5FZ4A_P	-7.3307129698486	-5.80341165884667	-6.37315621619157	-5.34883155348936	-5.57677853940337	-6.28274966336526	-6.57749567153509	-5.04409270157534	-5.38895708689354	-5.39411247737332	-5.53090639852677	-5.34287903369683	-7.43317922873898	-5.28359326133179	-5.29744330627152	-5.49811611048466	-5.26684338200549	-5.57563690883446	-5.3906566149748	-7.19367016683343	-5.4027533974697	-5.3286517489071	-5.18808956121974	-5.46196300018313	-5.43224023733022	-5.80162113158096	-5.42235928201535	-5.44056243869173	-6.03050159774505	-5.43224023733022	-5.29134389585357	-5.35546375272205	-5.30220386093713	-5.2592980842218	-5.23007477883887	-6.0505300000632	-5.47979324750429	-8.06155312199147	-5.29499629780609	-5.33003872670274	-5.63971013934485	-8.65652256679727	-5.96444753673198	-6.33416200114797	-6.4827943742118	-5.4027533974697	-5.57969974955645	-5.39701990450504	-5.87260866966691	-5.47159396653325
