feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	dysbiosis	dysbiosis	-0.0620730367666345	0.00532135824476932	1595	1593	3.1501962438706e-30	4.17396560291405e-28
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	dysbiosis	dysbiosis	-0.212309175309679	0.0182832714862704	1595	1590	5.56528747055207e-30	4.17396560291405e-28
THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	dysbiosis	dysbiosis	-0.166447606636881	0.0147314790120702	1595	1589	1.57335699590767e-28	7.86678497953833e-27
PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	dysbiosis	dysbiosis	-0.145798897649264	0.0133463196798211	1595	1592	7.71247217206064e-27	2.89217706452274e-25
PWY.7242..D.fructuronate.degradation	dysbiosis	dysbiosis	-0.252749922167785	0.0239120428619556	1595	1588	2.76687998658073e-25	8.30063995974218e-24
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	dysbiosis	dysbiosis	-0.0813513970483803	0.0078444670595573	1595	1593	1.98613441388186e-24	4.96533603470465e-23
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	dysbiosis	dysbiosis	-0.135617784772846	0.0131350996183554	1595	1592	3.10613672997956e-24	6.65600727852762e-23
PWY.5097..L.lysine.biosynthesis.VI	dysbiosis	dysbiosis	0.0377511231766045	0.00380214144300079	1595	1592	1.39215304551305e-22	2.61028696033696e-21
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	dysbiosis	dysbiosis	0.036683573249925	0.00377774827207284	1595	1594	1.07419712698823e-21	1.79032854498038e-20
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	dysbiosis	dysbiosis	0.034707097751587	0.00364355580382738	1595	1594	5.86659571482884e-21	8.79989357224326e-20
PWY.6168..flavin.biosynthesis.III..fungi.	dysbiosis	dysbiosis	-0.0860825018504826	0.00906664793095414	1595	1593	7.79162315685382e-21	1.0624940668437e-19
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	dysbiosis	dysbiosis	-0.0585279146476007	0.00619693434386885	1595	1593	1.22306840687091e-20	1.52883550858863e-19
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	dysbiosis	dysbiosis	0.0357805523483476	0.00380600228445434	1595	1594	1.81213350730681e-20	2.0909232776617e-19
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	dysbiosis	dysbiosis	-0.0652237707497541	0.00714280573642593	1595	1593	1.99359123554529e-19	2.13599060951281e-18
ARO.PWY..chorismate.biosynthesis.I	dysbiosis	dysbiosis	-0.0828257857532496	0.00935857150637288	1595	1593	2.27452593439255e-18	2.27452593439255e-17
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	dysbiosis	dysbiosis	-0.0745074380633001	0.00889840998556698	1595	1591	1.21411531042857e-16	1.13823310352679e-15
PWY.2942..L.lysine.biosynthesis.III	dysbiosis	dysbiosis	0.0444059052064561	0.00530963127192832	1595	1593	1.31522747743396e-16	1.16049483302996e-15
COA.PWY..coenzyme.A.biosynthesis.I	dysbiosis	dysbiosis	-0.0580195999663599	0.00697309038872897	1595	1593	1.86014178711143e-16	1.55011815592619e-15
PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	dysbiosis	dysbiosis	0.0513374971157799	0.0064830261936383	1595	1594	4.46532811658062e-15	3.52525903940575e-14
HISTSYN.PWY..L.histidine.biosynthesis	dysbiosis	dysbiosis	-0.0446641737277091	0.00580203083921013	1595	1593	2.41103197978976e-14	1.72216569984983e-13
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	dysbiosis	dysbiosis	0.0294490836435364	0.00382426284102394	1595	1593	2.3647960473073e-14	1.72216569984983e-13
TRNA.CHARGING.PWY..tRNA.charging	diagnosis	CD	-0.0568900161180576	0.00750476937687633	1595	1593	5.81434239435813e-14	3.96432435978963e-13
