feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Faecalibacterium.prausnitzii	dysbiosis	dysbiosis	-2.64794012545402	0.0746540772307976	1595	1534	1.54498022338379e-203	4.03239838303169e-201
Bacteroides.uniformis	dysbiosis	dysbiosis	-3.50369325883839	0.119953258244892	1595	1391	1.58949759230956e-150	2.07429435796398e-148
Subdoligranulum.unclassified	dysbiosis	dysbiosis	-1.52540172129513	0.0618874114691275	1595	1546	6.96263395951322e-114	6.0574915447765e-112
Alistipes.putredinis	dysbiosis	dysbiosis	-3.44452303940572	0.141902465568088	1595	940	5.44328766083451e-111	3.55174519869452e-109
Ruminococcus.obeum	dysbiosis	dysbiosis	-1.94697960164567	0.0836261373378637	1595	1346	2.02372125163981e-103	1.05638249335598e-101
Coprococcus.comes	dysbiosis	dysbiosis	-2.14516119348421	0.101471949471283	1595	848	1.25936985391891e-87	5.47825886454727e-86
Eubacterium.rectale	dysbiosis	dysbiosis	-2.51569165523932	0.123796042165701	1595	1318	8.31710503619217e-82	3.10109202063737e-80
Alistipes.onderdonkii	dysbiosis	dysbiosis	-2.76018848890634	0.139540062647646	1595	896	4.86859506084662e-78	1.58837913860121e-76
Parabacteroides.merdae	dysbiosis	dysbiosis	-2.71528593222327	0.14638776185741	1595	911	1.0959861732161e-69	3.1783599023267e-68
Clostridium.clostridioforme	dysbiosis	dysbiosis	1.89734609960229	0.102459822748663	1595	518	1.75055974111711e-69	4.56896092431566e-68
Bacteroides.ovatus	dysbiosis	dysbiosis	-2.39185328490471	0.129464167100739	1595	1319	3.37152512622943e-69	7.99970961768984e-68
Bacteroides.vulgatus	dysbiosis	dysbiosis	-2.27786261383726	0.127805183671149	1595	1455	6.2907172627023e-65	1.36823100463775e-63
Eubacterium.eligens	dysbiosis	dysbiosis	-2.31970965699354	0.131322046124395	1595	1015	6.6447671569073e-64	1.33406479073293e-62
Odoribacter.splanchnicus	dysbiosis	dysbiosis	-0.780282200359066	0.04497245507809	1595	662	6.77800230463401e-62	1.26361328679248e-60
Bacteroides.caccae	dysbiosis	dysbiosis	-2.6266559344351	0.155451071909004	1595	1072	4.86055595748579e-59	8.45736736602528e-58
Alistipes.shahii	dysbiosis	dysbiosis	-2.09210611292988	0.12915076524354	1595	757	9.59348903225317e-55	1.5649378983863e-53
Oscillibacter.unclassified	dysbiosis	dysbiosis	-1.73543876671167	0.109418481456128	1595	1296	1.04209958251931e-52	1.59992935904435e-51
Collinsella.aerofaciens	dysbiosis	dysbiosis	-1.63753249544182	0.103636242817895	1595	835	2.36841699892214e-52	3.4342046484371e-51
Ruminococcus.gnavus	dysbiosis	dysbiosis	1.80497028765182	0.117060935704465	1595	970	4.24185098375505e-50	5.82696371978983e-49
Bilophila.unclassified	dysbiosis	dysbiosis	-1.64255295493077	0.108509980573894	1595	885	1.83900594962824e-48	2.39990276426485e-47
Escherichia.coli	dysbiosis	dysbiosis	1.61497839649736	0.109748039744157	1595	975	4.72990982627783e-46	5.87860221265959e-45
Bacteroides.stercoris	dysbiosis	dysbiosis	-2.68734644399195	0.18597335673957	1595	1063	1.45561028647082e-44	1.72688311258583e-43
Coprobacillus.unclassified	dysbiosis	dysbiosis	1.20543070054283	0.0841576483179321	1595	415	7.35894785007831e-44	8.35080603856712e-43
Alistipes.finegoldii	dysbiosis	dysbiosis	-1.64431571343291	0.115911603337508	1595	788	4.22203416555456e-43	4.59146215504058e-42
Lachnospiraceae.bacterium.3.1.46FAA	dysbiosis	dysbiosis	-1.50574073737449	0.107149484339061	1595	992	2.26536826994853e-42	2.36504447382627e-41
Eubacterium.ventriosum	dysbiosis	dysbiosis	-1.63726651723974	0.118836284291656	1595	627	7.00538969861859e-41	7.03233350515174e-40
Bacteroidales.bacterium.ph8	dysbiosis	dysbiosis	-1.42288727530325	0.105345889266063	1595	472	1.944530210609e-39	1.87971253692204e-38
Dorea.longicatena	dysbiosis	dysbiosis	-1.47111006832786	0.113310249913317	1595	1063	1.04160946249217e-36	9.70928820394489e-36
Alistipes.putredinis	diagnosis	UC	-4.82392684751451	0.378215546188267	1595	940	1.5194851033507e-35	1.36753659301563e-34
Roseburia.inulinivorans	dysbiosis	dysbiosis	-1.44143782198167	0.121603407271577	1595	1074	4.03038900815757e-31	3.50643843709708e-30
Eubacterium.hallii	dysbiosis	dysbiosis	-1.2473920489165	0.106611911378951	1595	923	2.14599474333457e-30	1.80678912261394e-29
Parabacteroides.distasonis	dysbiosis	dysbiosis	-1.66564349625158	0.144484308181954	1595	935	1.3732211712031e-29	1.12003351776253e-28
Klebsiella.pneumoniae	dysbiosis	dysbiosis	0.827619709409543	0.0726810322892432	1595	171	6.18857325291251e-29	4.89459884548535e-28
Bacteroides.cellulosilyticus	dysbiosis	dysbiosis	-1.52756410868021	0.134400264917465	1595	526	7.75039255020629e-29	5.94956604589365e-28
Clostridium.nexile	dysbiosis	dysbiosis	0.99807221531566	0.0880005307334962	1595	273	1.00042551010539e-28	7.46031594678588e-28
Barnesiella.intestinihominis	dysbiosis	dysbiosis	-1.50643525716975	0.132922918359461	1595	484	1.09461315703219e-28	7.93594538848337e-28
Bacteroides.xylanisolvens	dysbiosis	dysbiosis	-1.34136283156442	0.120770594761174	1595	1072	1.17425962267529e-27	8.28329085184463e-27
Eubacterium.siraeum	dysbiosis	dysbiosis	-1.62438709894864	0.147039132959561	1595	656	2.17337786045044e-27	1.49276742520412e-26
Clostridium.leptum	dysbiosis	dysbiosis	-1.13403593004099	0.105429918120175	1595	812	4.2635160364797e-26	2.85327611672103e-25
Bacteroides.thetaiotaomicron	dysbiosis	dysbiosis	-1.60316997568858	0.151806515903046	1595	1121	3.03753999719947e-25	1.98199484817265e-24
Parabacteroides.goldsteinii	diagnosis	CD	-1.96415949528384	0.190788872427297	1595	187	4.15793788112456e-24	2.64688240725246e-23
